,dataset,ligand_A,ligand_B,exp_ddG,exp_err,calc_ddG,calc_err
45,bace,CAT-13h,CAT-17a,-1.0999994277954102,0.0,-3.91,0.44
46,bace,CAT-4p,CAT-13m,1.3200006484985352,0.0,0.9,0.19
47,bace,CAT-13d,CAT-17a,-0.26000022888183594,0.0,-0.73,0.1
48,bace,CAT-13j,CAT-13g,-0.3600006103515625,0.0,-0.37,0.48
49,p38,2o,2n,-1.3600006103515643,0.0,0.01,0.54
50,p38,2j,2ee,-2.1800003051757795,0.0,-1.22,0.72
51,p38,2l,3fln,1.380000114440918,0.0,1.27,0.09
52,p38,2g,3fln,-0.2200002670288086,0.0,0.15,0.04
53,p38,2c,3flz,0.9700002670288086,0.0,1.61,0.22
54,p38,2k,3fln,-0.3299999237060547,0.0,-1.08,0.09
55,p38,2g,2c,0.19999980926513672,0.0,-0.8,0.27
56,p38,2bb,2v,0.09000015258789062,0.0,1.67,1.05
57,p38,2u,3fln,1.380000114440918,0.0,1.68,1.05
58,p38,3fmh,3fly,-0.5900001525878871,0.0,0.26,0.72
59,p38,2h,2i,-0.5700006484985352,0.0,0.08,0.16
60,p38,2g,3flz,1.1700000762939453,0.0,0.72,0.09
61,p38,2f,2e,-2.2200002670288086,0.0,0.1,0.06
62,p38,3fln,2v,1.9099998474121094,0.0,2.24,0.28
63,p38,2f,3flz,-1.010000228881836,0.0,-0.46,0.03
64,p38,2j,2ff,-1.3599996566772443,0.0,-1.03,0.26
65,p38,2aa,3fly,-2.1499996185302717,0.0,-1.09,0.83
66,p38,2ee,3fln,1.380000114440918,0.0,0.63,0.34
67,p38,2j,2t,-1.7700004577636719,0.0,-2.6,0.3
68,p38,2n,2r,1.060000419616701,0.0,0.43,0.48
69,p38,2v,2z,-1.3899993896484375,0.0,-1.93,0.68
70,p38,2n,3fln,0.9700002670288104,0.0,1.28,0.13
71,p38,2v,3fly,-2.449999809265135,0.0,-1.96,0.16
72,p38,2j,2v,1.1099996566772479,0.0,1.14,0.29
73,p38,2q,2k,1.7100000381469727,0.0,2.95,0.5
74,p38,2ff,3fln,0.5599994659423828,0.0,-0.05,0.16
75,p38,2x,3fly,-1.1900005340576154,0.0,-0.6,0.11
76,p38,2j,2l,-2.1800003051757795,0.0,-2.26,0.14
77,p38,2p,3fln,0.31999969482421875,0.0,0.74,0.28
78,p38,2j,2k,-0.4700002670288068,0.0,0.46,0.17
79,p38,2o,3fln,-0.3900003433227539,0.0,2.25,1.36
80,p38,2n,2s,0.7400007247924822,0.0,0.25,0.45
81,p38,2aa,3flq,-0.6599998474121076,0.0,-0.16,0.94
82,p38,3fln,2e,0.18000030517578125,0.0,1.2,0.06
83,p38,2g,2h,1.1800003051757812,0.0,1.17,0.13
84,p38,2aa,3flw,-1.4099998474121076,0.0,-1.34,1.51
85,p38,2j,2p,-1.1199998855590803,0.0,-1.94,0.53
86,p38,2j,2gg,-0.5799999237060529,0.0,0.19,0.18
87,p38,3flq,2v,0.9600000381469709,0.0,6.26,1.37
88,p38,2q,2ee,0.0,0.0,1.6,0.69
89,p38,2y,2v,0.8099994659423828,0.0,1.53,1.01
90,p38,3flw,3fly,-0.7399997711181641,0.0,1.36,0.79
91,p38,2gg,3fln,-0.2200002670288086,0.0,-1.08,0.24
92,p38,2g,2i,0.6099996566772461,0.0,0.93,0.14
93,p38,3fmk,3fly,0.4099998474121129,0.0,2.07,0.66
94,p38,2t,3fln,0.9700002670288104,0.0,1.8,0.18
95,p38,2s,2r,0.31999969482421875,0.0,0.07,1.23
96,p38,2u,2k,1.7100000381469727,0.0,2.61,0.5
97,p38,2x,2v,1.2599992752075195,0.0,1.37,0.21
98,p38,2k,2m,-0.4099998474121094,0.0,-2.6,0.2
99,p38,2z,3fly,-1.0600004196166974,0.0,1.03,0.76
100,jnk1,18658-1,18631-1,0.28999996185302734,0.0,0.7,0.27
101,jnk1,17124-1,18637-1,-0.46000003814697443,0.0,-0.15,0.28
102,jnk1,18638-1,18634-1,0.10000038146972656,0.0,0.47,0.27
103,jnk1,18630-1,18632-1,0.06000041961669744,0.0,-0.35,0.06
104,jnk1,18626-1,18624-1,0.38000011444091797,0.0,0.9,0.07
105,jnk1,18634-1,18631-1,0.5799999237060547,0.0,0.84,0.07
106,jnk1,18632-1,18624-1,0.5900001525878924,0.0,0.73,0.06
107,jnk1,18635-1,18625-1,-0.8199996948242188,0.0,-0.01,0.09
108,jnk1,18630-1,18624-1,0.6500005722045898,0.0,0.43,0.06
109,jnk1,18628-1_flip,18627-1,0.2200002670288086,0.0,-0.53,0.22
110,jnk1,18627-1,18633-1,-0.6900005340576154,0.0,-0.07,0.07
111,jnk1,18631-1,18625-1,1.3000001907348633,0.0,1.31,0.39
112,jnk1,18639-1,18634-1,-0.25,0.0,0.86,0.14
113,jnk1,18659-1,18658-1,-0.22999954223632812,0.0,-1.49,0.39
114,jnk1,18659-1,18660-1,0.7700004577636719,0.0,-0.08,0.56
115,jnk1,18631-1,18624-1,0.9200000762939453,0.0,1.83,0.2
116,jnk1,18626-1,18629-1,0.19999980926513672,0.0,0.25,0.07
117,jnk1,18638-1,18652-1,-0.5900001525878888,0.0,-0.24,0.18
118,jnk1,18634-1,18652-1,-0.6900005340576154,0.0,-0.76,0.26
119,jnk1,18659-1,18634-1,-0.5199995040893555,0.0,-0.42,0.39
120,jnk1,17124-1,18634-1,-0.3099994659423846,0.0,0.77,0.12
121,jnk1,18630-1,18633-1,-0.02999973297118963,0.0,-0.21,0.08
122,jnk1,18629-1,18624-1,0.18000030517578125,0.0,0.71,0.05
123,jnk1,18639-1,18637-1,-0.40000057220458984,0.0,0.56,0.9
124,jnk1,18636-1,18625-1,-0.5999994277954102,0.0,0.82,0.12
125,jnk1,18628-1_flip,18625-1,0.5900001525878906,0.0,-0.43,0.23
126,jnk1,18636-1,18635-1,0.2200002670288086,0.0,0.87,0.2
127,cdk2,20,1h1q,0.5399999618530273,0.0,1.36,0.15
128,cdk2,1oiy,1oi9,0.05000019073486328,0.0,-0.72,0.44
129,cdk2,22,1h1q,-0.32000017166137695,0.0,-0.5,0.49
130,cdk2,30,31,0.2700004577636719,0.0,0.35,0.22
131,cdk2,30,1h1s,-1.4399995803833008,0.0,-1.39,0.49
132,cdk2,17,1h1r,-0.630000114440918,0.0,0.14,0.04
133,cdk2,26,1h1q,0.25,0.0,0.67,0.16
134,cdk2,26,1oi9,-1.3099994659423828,0.0,-1.37,0.4
135,cdk2,22,1oi9,-1.8799996376037598,0.0,-2.94,0.58
136,cdk2,30,29,-0.06999969482421875,0.0,0.03,0.51
137,cdk2,21,1h1q,-0.35000038146972656,0.0,-0.56,0.16
138,cdk2,31,29,-0.3400001525878906,0.0,-0.3,0.59
139,cdk2,17,1h1q,-1.140000343322754,0.0,1.03,0.12
140,cdk2,31,1oi9,-0.19999980926513672,0.0,-1.01,0.26
141,cdk2,1h1s,31,1.7100000381469727,0.0,1.54,0.49
142,cdk2,1oiu,1h1q,0.8999996185302752,0.0,2.86,0.27
143,cdk2,1oiy,1h1q,1.609999656677246,0.0,1.38,0.36
144,cdk2,28,32,1.359999656677246,0.0,1.64,0.8
145,cdk2,21,20,-0.8900003433227539,0.0,-1.57,0.58
146,cdk2,28,1h1s,-0.1400003433227539,0.0,0.28,0.37
147,cdk2,1h1s,32,1.5,0.0,1.86,0.13
148,cdk2,17,1oiu,-2.039999961853029,0.0,-1.88,0.26
149,cdk2,1h1r,1h1q,-0.5100002288818359,0.0,0.79,0.16
150,cdk2,31,1h1q,1.359999656677246,0.0,0.92,0.29
151,ptp1b,23482,23486,-2.4600000381469727,0.0,-1.97,0.41
152,ptp1b,23467,23476,-2.0699996948242188,0.0,-2.66,0.38
153,ptp1b,23473,23466,0.5400004386901855,0.0,2.49,0.41
154,ptp1b,23469,23473,-0.6700005531311035,0.0,-1.27,0.1
155,ptp1b,23471,23470,0.03000020980834961,0.0,-1.05,0.55
156,ptp1b,23477,20670,-0.2299995422363299,0.0,-0.27,0.08
157,ptp1b,20667,23482,1.4099998474121076,0.0,1.23,0.26
158,ptp1b,23471,23468,0.0,0.0,0.38,0.11
159,ptp1b,23474,23466,1.2599997520446777,0.0,2.93,0.39
160,ptp1b,23466,20670,-1.230000019073488,0.0,-2.74,0.28
161,ptp1b,20667,23486,-1.050000190734865,0.0,-0.55,0.05
162,ptp1b,23480,23479,-0.4200000762939453,0.0,0.3,0.13
163,ptp1b,23477,23466,1.0000004768371582,0.0,2.3,0.18
164,ptp1b,23471,23472,-0.8999996185302734,0.0,-1.64,0.27
165,ptp1b,23484,23486,-4.720000267028809,0.0,-0.47,0.08
166,ptp1b,23483,23479,0.7299995422363281,0.0,1.28,0.53
167,ptp1b,23477,23479,-0.28999996185302734,0.0,-0.44,0.24
168,ptp1b,23471,23466,-0.09999990463256836,0.0,1.04,0.15
169,ptp1b,23480,20670,-0.35999965667724787,0.0,-0.01,0.14
170,ptp1b,23467,23468,-0.4099998474121094,0.0,-0.3,0.3
171,ptp1b,23467,23473,-1.0500001907348633,0.0,-1.71,0.28
172,ptp1b,23467,23466,-0.5099997520446777,0.0,0.45,0.12
173,ptp1b,23476,23466,1.559999942779541,0.0,3.24,0.45
174,ptp1b,20667,23485,0.4099998474121076,0.0,1.64,0.08
175,ptp1b,23467,20669,-1.2699995040893555,0.0,-0.94,0.17
176,ptp1b,20669,23466,0.7599997520446777,0.0,1.36,0.19
177,ptp1b,23466,23330,-2.2800002098083496,0.0,-4.5,0.54
178,ptp1b,23483,23480,1.1499996185302734,0.0,0.95,0.26
179,ptp1b,23482,23479,0.869999885559082,0.0,1.2,0.28
180,ptp1b,23466,23472,-0.7999997138977051,0.0,-2.54,0.46
181,ptp1b,23466,23475,-0.8700003623962402,0.0,-2.45,0.23
182,ptp1b,23484,23485,-3.260000228881836,0.0,1.97,0.12
183,ptp1b,23477,23330,-1.2799997329711914,0.0,-1.63,0.16
184,ptp1b,23467,23474,-1.7699995040893555,0.0,-2.43,0.28
185,tyk2,ejm_31,ejm_46,-1.7700004577636719,0.0,-0.9,0.08
186,tyk2,ejm_31,ejm_42,-0.23999977111816406,0.0,0.59,0.07
187,tyk2,ejm_55,ejm_54,-1.3199996948242188,0.0,0.53,0.31
188,tyk2,ejm_42,ejm_54,-0.75,0.0,-0.21,0.47
189,tyk2,ejm_49,ejm_50,-1.2299995422363281,0.0,-0.37,0.35
190,tyk2,ejm_47,ejm_31,0.15999984741210938,0.0,-0.34,0.26
191,tyk2,ejm_50,ejm_48,-0.020000457763671875,0.0,0.47,0.15
192,tyk2,jmc_27,ejm_46,-0.030000686645507812,0.0,0.47,0.08
193,tyk2,jmc_30,ejm_46,-0.37000083923339844,0.0,0.99,0.18
194,tyk2,ejm_49,ejm_31,-1.7899999618530273,0.0,-0.78,0.14
195,tyk2,ejm_31,ejm_48,0.5399999618530273,0.0,0.57,0.24
196,tyk2,jmc_23,jmc_28,0.7200002670288086,0.0,0.43,0.13
197,tyk2,ejm_44,ejm_43,-0.8400001525878906,0.0,-0.72,0.24
198,tyk2,jmc_23,jmc_27,0.4200000762939453,0.0,-0.32,0.16
199,tyk2,ejm_43,ejm_42,-1.5199995040893555,0.0,-1.99,0.08
200,tyk2,ejm_31,ejm_44,2.119999885559082,0.0,2.59,0.28
201,tyk2,ejm_50,ejm_42,-0.8000001907348633,0.0,-0.29,0.18
202,tyk2,ejm_31,ejm_45,-0.020000457763671875,0.0,0.15,0.18
203,tyk2,ejm_47,ejm_50,0.7200002670288086,0.0,-0.09,0.18
204,tyk2,ejm_50,ejm_55,-0.23000049591064453,0.0,-0.92,0.23
205,tyk2,jmc_23,ejm_31,2.1599998474121094,0.0,1.17,0.15
206,tyk2,jmc_28,jmc_30,0.039999961853027344,0.0,-1.06,0.06
207,mcl1,42,64,-0.6000003809999992,0.23413574935376885,-1.92,0.39
208,mcl1,42,66,0.4699993140000007,0.21917096122625315,-1.65,0.25
209,mcl1,42,44,0.22999954299999992,0.18103238035402608,-0.78,0.12
210,mcl1,53,63,0.8999996180000007,0.21711703139139402,0.13,0.13
211,mcl1,60,61,0.8400001520000018,0.2391264323009901,0.32,0.16
212,mcl1,27,47 flip,0.3399996759999997,0.20328154460794345,0.67,0.22
213,mcl1,50,61,1.25,0.2811326377352868,-0.27,0.11
214,mcl1,33,48 flip,0.22000026700000053,0.17682915608084418,5.5,0.52
215,mcl1,27,39,-0.9100003240000003,0.13278152351767875,-1.05,0.62
216,mcl1,33,34,0.010000228000000888,0.2611859517191229,-0.74,0.18
217,mcl1,60,67,1.3400001520000009,0.027231875983429583,-0.56,0.15
218,mcl1,27,43 flip,-0.9100003240000003,0.1299649308657648,-0.37,0.43
219,mcl1,42,54,-0.8800001139999996,0.2684902113357948,-1.98,0.14
220,mcl1,28,46 flip,-0.9800000190000002,0.034582580529109556,-1.05,0.4
221,mcl1,42,51,0.44999981000000133,0.2727169821871053,0.11,0.1
222,mcl1,27,38 flip,-0.9000000950000002,0.20257967724713796,-3.68,0.5
223,mcl1,37,56,-0.3100004199999997,0.2998338634626495,-0.08,0.1
224,mcl1,31,35,-0.8900003439999997,0.22136294100355755,0.82,0.11
225,mcl1,23,42,-0.0699996950000017,0.18695932564714554,0.28,0.12
226,mcl1,28,38 flip,-0.4000000950000002,0.16490787212724944,-4.55,0.8
227,mcl1,51,62,0.48999977099999903,0.255109640885622,-0.37,0.19
228,mcl1,35,37,-0.13999938899999975,0.3701606599049823,-0.56,0.19
229,mcl1,27,46 flip,-1.4800000190000002,0.12263716492185261,-0.73,0.3
230,mcl1,26,68,0.549999714000001,0.3708633645967204,0.87,0.07
231,mcl1,35,36,0.6300001149999996,0.22616494768770545,-0.99,0.19
232,mcl1,26,27,2.1199998850000012,0.28876862442956475,2.85,0.4
233,mcl1,42,57,-0.14000034299999875,0.20254882970525528,-0.02,0.1
234,mcl1,36,52,-1.0499992369999998,0.08289499851755622,-0.89,0.12
235,mcl1,27,31,-1.8000001900000004,0.12411340928117139,-2.33,0.64
236,mcl1,60,65,0.510000229000001,0.19419252243195306,-1.27,0.04
237,mcl1,28,39,-0.4100003240000003,0.06153871662342774,-1.67,0.58
238,mcl1,60,63,-0.14000034399999883,0.09716182493654595,-1.73,0.16
239,mcl1,35,49,0.45000076300000025,0.24914832761652983,0.02,0.22
240,mcl1,32,33,-0.30000019000000044,0.21080777186229385,-0.67,0.09
241,mcl1,27,42,-2.7799997330000012,0.21733856073047392,-1.89,0.47
242,mcl1,42,68,1.209999562000001,0.3184153996361528,-0.12,0.14
243,mcl1,54,64,0.27999973300000036,0.24833333336,0.25,0.21
244,mcl1,33,45,-2.069999694999999,0.26565745897722093,-1.73,0.56
245,mcl1,32,34,-0.28999996199999956,0.22460439877232827,-1.39,0.13
246,mcl1,27,40 flip,-1.1300001140000004,0.12569726580070686,-1.52,0.45
247,mcl1,52,53,-0.7300004960000006,0.20489555163093864,-0.91,0.18
248,mcl1,30 flip,37,-1.0999999039999997,0.3524587950528728,-2.44,0.46
249,mcl1,43 flip,47 flip,1.25,0.17023298130282594,1.26,0.16
250,mcl1,26,44,-0.4300003050000001,0.26253379060835935,0.42,0.16
251,mcl1,32,41 flip,-0.5500001900000004,0.1282828564150331,-2.46,0.71
252,mcl1,26,57,-0.8000001909999988,0.27780802164357604,1.11,0.13
253,mcl1,27,30 flip,-1.7300000190000002,0.22369779405498394,-0.08,0.15
254,mcl1,49,50,-0.9700002669999996,0.18989727489572275,-0.44,0.12
255,mcl1,37,60,0.029999732999998585,0.29858146396754104,-0.36,0.18
256,mcl1,65,67,0.8299999229999999,0.19431554129317985,0.58,0.11
257,mcl1,27,45,-2.829999923,0.23256385211943817,-2.56,0.55
258,mcl1,33,35,-1.9300003059999993,0.2816386961939657,-0.5,0.44
259,mcl1,23,66,0.39999961899999903,0.13323888861880165,-1.33,0.04
260,mcl1,33,41 flip,-0.25,0.18500663954989546,-1.79,0.89
261,mcl1,30 flip,40 flip,0.5999999049999998,0.1913256490514367,-0.78,0.61
262,mcl1,27,28,-0.5,0.12406080108506759,0.39,0.3
263,mcl1,28,29,-0.3200001710000002,0.1184481478705222,0.38,0.21
264,mcl1,42,62,0.9399995810000004,0.23652372978297734,-0.14,0.25
265,mcl1,37,53,-1.010000229000001,0.3561604634433917,-2.07,0.16
266,mcl1,56,58,-0.14999961800000072,0.05393210740764148,-1.82,0.13
267,mcl1,27,48 flip,-0.5399999610000004,0.12157553307578639,3.82,0.47
268,mcl1,53,58,0.5500001910000005,0.1996461926777022,0.14,0.16
269,thrombin,6b,7a,0.6700000762939453,0.0,0.43,0.15
270,thrombin,6a,6b,0.28999996185302557,0.0,0.14,0.12
271,thrombin,6a,6e,0.2700004577636701,0.0,0.64,0.09
272,thrombin,1d,1c,-0.3100004196166992,0.0,0.29,0.05
273,thrombin,6b,1b,0.43000030517578125,0.0,1.11,0.06
274,thrombin,1d,1b,-0.21000003814697266,0.0,0.91,0.1
275,thrombin,1a,1c,-1.080000400543213,0.0,-1.8,0.15
276,thrombin,1a,3b,-0.38000011444091797,0.0,-1.61,0.07
277,thrombin,1b,1a,0.9800000190734863,0.0,1.09,0.11
278,thrombin,3a,3b,0.45999956130981445,0.0,-0.56,0.15
279,thrombin,6e,1b,0.4499998092651367,0.0,0.62,0.11
280,thrombin,3a,5,0.7399997711181641,0.0,1.72,0.26
281,thrombin,1a,5,-0.09999990463256836,0.0,0.65,0.08
282,thrombin,6e,7a,0.6899995803833008,0.0,0.18,0.2
