Parameter,Reference,Iteration,Value,Attribute,smirks,SMIRKS
n8,1.377051329051,1,1.355339000263,rmin_half,"[#1:1]-[#6X3]~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3]~[ENA]
n9,1.370482808197,1,1.379052399891,rmin_half,"[#1:1]-[#6X3](~[#7,#8,#9,#16,#17,#35])~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3](~[ENA])~[ENA]
n11,0.6192778454102,1,0.6272768684949,rmin_half,[#1:1]-[#7],[#1:1]-[#7]
n12,0.2999999999997,1,0.3002263686879,rmin_half,[#1:1]-[#8],[#1:1]-[#8]
n14,1.953447017081,1,1.942574374341,rmin_half,[#6:1],[#6:1]
n15,1.908,1,1.905269251925,rmin_half,[#6X2:1],[#6X2:1]
n16,1.896698071741,1,1.887211236337,rmin_half,[#6X4:1],[#6X4:1]
n17,1.706036917087,1,1.701718971017,rmin_half,[#8:1],[#8:1]
n18,1.697783613804,1,1.726144403081,rmin_half,[#8X2H0+0:1],[#8X2H0+0:1]
n19,1.682099169199,1,1.699667403769,rmin_half,[#8X2H1+0:1],[#8X2H1+0:1]
n20,1.799798315098,1,1.838513145354,rmin_half,[#7:1],[#7:1]
n24,1.85628721824,1,1.862123682465,rmin_half,[#17:1],[#17:1]
n25,1.969806594135,1,1.968595796142,rmin_half,[#35:1],[#35:1]
n2,1.48419980825,2,1.494105999266,rmin_half,[#1:1]-[#6X4],[#1:1]-[#6X4]
n3,1.449786411317,2,1.428603291591,rmin_half,"[#1:1]-[#6X4]-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4]-[ENA]
n4,1.287,2,1.288910719505,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])-[ENA]
n5,1.187,2,1.18685251438,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])(-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])(-[ENA])-[ENA]
n7,1.443812569645,2,1.461687301905,rmin_half,[#1:1]-[#6X3],[#1:1]-[#6X3]
n8,1.377051329051,2,1.36440216401,rmin_half,"[#1:1]-[#6X3]~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3]~[ENA]
n9,1.370482808197,2,1.377709001631,rmin_half,"[#1:1]-[#6X3](~[#7,#8,#9,#16,#17,#35])~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3](~[ENA])~[ENA]
n11,0.6192778454102,2,0.6330175631398,rmin_half,[#1:1]-[#7],[#1:1]-[#7]
n12,0.2999999999997,2,0.2999399093126,rmin_half,[#1:1]-[#8],[#1:1]-[#8]
n14,1.953447017081,2,1.944447082971,rmin_half,[#6:1],[#6:1]
n15,1.908,2,1.903414628426,rmin_half,[#6X2:1],[#6X2:1]
n16,1.896698071741,2,1.887613448076,rmin_half,[#6X4:1],[#6X4:1]
n17,1.706036917087,2,1.706779733341,rmin_half,[#8:1],[#8:1]
n18,1.697783613804,2,1.729934701915,rmin_half,[#8X2H0+0:1],[#8X2H0+0:1]
n19,1.682099169199,2,1.707138649236,rmin_half,[#8X2H1+0:1],[#8X2H1+0:1]
n20,1.799798315098,2,1.848419700476,rmin_half,[#7:1],[#7:1]
n24,1.85628721824,2,1.862583828415,rmin_half,[#17:1],[#17:1]
n25,1.969806594135,2,1.961762320565,rmin_half,[#35:1],[#35:1]
n2,1.48419980825,3,1.496603773901,rmin_half,[#1:1]-[#6X4],[#1:1]-[#6X4]
n3,1.449786411317,3,1.433862944159,rmin_half,"[#1:1]-[#6X4]-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4]-[ENA]
n4,1.287,3,1.287933988319,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])-[ENA]
n5,1.187,3,1.188893715562,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])(-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])(-[ENA])-[ENA]
n7,1.443812569645,3,1.470491761162,rmin_half,[#1:1]-[#6X3],[#1:1]-[#6X3]
n8,1.377051329051,3,1.375582395432,rmin_half,"[#1:1]-[#6X3]~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3]~[ENA]
n9,1.370482808197,3,1.38075307679,rmin_half,"[#1:1]-[#6X3](~[#7,#8,#9,#16,#17,#35])~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3](~[ENA])~[ENA]
n11,0.6192778454102,3,0.6437178945704,rmin_half,[#1:1]-[#7],[#1:1]-[#7]
n12,0.2999999999997,3,0.3002049326858,rmin_half,[#1:1]-[#8],[#1:1]-[#8]
n14,1.953447017081,3,1.942636611882,rmin_half,[#6:1],[#6:1]
n15,1.908,3,1.906338842517,rmin_half,[#6X2:1],[#6X2:1]
n16,1.896698071741,3,1.886130152695,rmin_half,[#6X4:1],[#6X4:1]
n17,1.706036917087,3,1.70414808559,rmin_half,[#8:1],[#8:1]
n18,1.697783613804,3,1.726891400534,rmin_half,[#8X2H0+0:1],[#8X2H0+0:1]
n19,1.682099169199,3,1.703257945797,rmin_half,[#8X2H1+0:1],[#8X2H1+0:1]
n20,1.799798315098,3,1.847054972285,rmin_half,[#7:1],[#7:1]
n24,1.85628721824,3,1.861840552372,rmin_half,[#17:1],[#17:1]
n25,1.969806594135,3,1.968964597629,rmin_half,[#35:1],[#35:1]
n2,1.48419980825,4,1.497379353746,rmin_half,[#1:1]-[#6X4],[#1:1]-[#6X4]
n3,1.449786411317,4,1.437423119505,rmin_half,"[#1:1]-[#6X4]-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4]-[ENA]
n4,1.287,4,1.288225366122,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])-[ENA]
n5,1.187,4,1.185882712723,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])(-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])(-[ENA])-[ENA]
n7,1.443812569645,4,1.466545150181,rmin_half,[#1:1]-[#6X3],[#1:1]-[#6X3]
n8,1.377051329051,4,1.376899595867,rmin_half,"[#1:1]-[#6X3]~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3]~[ENA]
n9,1.370482808197,4,1.379768756913,rmin_half,"[#1:1]-[#6X3](~[#7,#8,#9,#16,#17,#35])~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3](~[ENA])~[ENA]
n11,0.6192778454102,4,0.6501754056959,rmin_half,[#1:1]-[#7],[#1:1]-[#7]
n12,0.2999999999997,4,0.3000648311245,rmin_half,[#1:1]-[#8],[#1:1]-[#8]
n14,1.953447017081,4,1.951906474397,rmin_half,[#6:1],[#6:1]
n15,1.908,4,1.899271732682,rmin_half,[#6X2:1],[#6X2:1]
n16,1.896698071741,4,1.885005871395,rmin_half,[#6X4:1],[#6X4:1]
n17,1.706036917087,4,1.699960044134,rmin_half,[#8:1],[#8:1]
n18,1.697783613804,4,1.717802328212,rmin_half,[#8X2H0+0:1],[#8X2H0+0:1]
n19,1.682099169199,4,1.701880363045,rmin_half,[#8X2H1+0:1],[#8X2H1+0:1]
n20,1.799798315098,4,1.845625602129,rmin_half,[#7:1],[#7:1]
n24,1.85628721824,4,1.859517180024,rmin_half,[#17:1],[#17:1]
n25,1.969806594135,4,1.961311523242,rmin_half,[#35:1],[#35:1]
n2,1.48419980825,5,1.497251464501,rmin_half,[#1:1]-[#6X4],[#1:1]-[#6X4]
n3,1.449786411317,5,1.43456505091,rmin_half,"[#1:1]-[#6X4]-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4]-[ENA]
n4,1.287,5,1.287702971227,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])-[ENA]
n5,1.187,5,1.187246431234,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])(-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])(-[ENA])-[ENA]
n7,1.443812569645,5,1.470215770396,rmin_half,[#1:1]-[#6X3],[#1:1]-[#6X3]
n8,1.377051329051,5,1.372632619748,rmin_half,"[#1:1]-[#6X3]~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3]~[ENA]
n9,1.370482808197,5,1.376886816548,rmin_half,"[#1:1]-[#6X3](~[#7,#8,#9,#16,#17,#35])~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3](~[ENA])~[ENA]
n11,0.6192778454102,5,0.6520523873598,rmin_half,[#1:1]-[#7],[#1:1]-[#7]
n12,0.2999999999997,5,0.2995660427798,rmin_half,[#1:1]-[#8],[#1:1]-[#8]
n14,1.953447017081,5,1.955315699727,rmin_half,[#6:1],[#6:1]
n15,1.908,5,1.902197393454,rmin_half,[#6X2:1],[#6X2:1]
n16,1.896698071741,5,1.884377068436,rmin_half,[#6X4:1],[#6X4:1]
n17,1.706036917087,5,1.699249857033,rmin_half,[#8:1],[#8:1]
n18,1.697783613804,5,1.719770828531,rmin_half,[#8X2H0+0:1],[#8X2H0+0:1]
n19,1.682099169199,5,1.706215864201,rmin_half,[#8X2H1+0:1],[#8X2H1+0:1]
n20,1.799798315098,5,1.846011791657,rmin_half,[#7:1],[#7:1]
n24,1.85628721824,5,1.855172193245,rmin_half,[#17:1],[#17:1]
n25,1.969806594135,5,1.968858833688,rmin_half,[#35:1],[#35:1]
n2,1.48419980825,6,1.493442863643,rmin_half,[#1:1]-[#6X4],[#1:1]-[#6X4]
n3,1.449786411317,6,1.431252334296,rmin_half,"[#1:1]-[#6X4]-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4]-[ENA]
n4,1.287,6,1.288620529909,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])-[ENA]
n5,1.187,6,1.185159133826,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])(-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])(-[ENA])-[ENA]
n7,1.443812569645,6,1.470819280388,rmin_half,[#1:1]-[#6X3],[#1:1]-[#6X3]
n8,1.377051329051,6,1.366088310535,rmin_half,"[#1:1]-[#6X3]~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3]~[ENA]
n9,1.370482808197,6,1.376912054073,rmin_half,"[#1:1]-[#6X3](~[#7,#8,#9,#16,#17,#35])~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3](~[ENA])~[ENA]
n11,0.6192778454102,6,0.6356264989883,rmin_half,[#1:1]-[#7],[#1:1]-[#7]
n12,0.2999999999997,6,0.3004444215036,rmin_half,[#1:1]-[#8],[#1:1]-[#8]
n14,1.953447017081,6,1.959923330692,rmin_half,[#6:1],[#6:1]
n15,1.908,6,1.909376958441,rmin_half,[#6X2:1],[#6X2:1]
n16,1.896698071741,6,1.882256116945,rmin_half,[#6X4:1],[#6X4:1]
n17,1.706036917087,6,1.702755209654,rmin_half,[#8:1],[#8:1]
n18,1.697783613804,6,1.711736081613,rmin_half,[#8X2H0+0:1],[#8X2H0+0:1]
n19,1.682099169199,6,1.703314298835,rmin_half,[#8X2H1+0:1],[#8X2H1+0:1]
n20,1.799798315098,6,1.854065253821,rmin_half,[#7:1],[#7:1]
n24,1.85628721824,6,1.85368333637,rmin_half,[#17:1],[#17:1]
n25,1.969806594135,6,1.962288129122,rmin_half,[#35:1],[#35:1]
n2,1.48419980825,7,1.49336364812,rmin_half,[#1:1]-[#6X4],[#1:1]-[#6X4]
n3,1.449786411317,7,1.432305190017,rmin_half,"[#1:1]-[#6X4]-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4]-[ENA]
n4,1.287,7,1.287713200651,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])-[ENA]
n5,1.187,7,1.18803117199,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])(-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])(-[ENA])-[ENA]
n7,1.443812569645,7,1.471441123045,rmin_half,[#1:1]-[#6X3],[#1:1]-[#6X3]
n8,1.377051329051,7,1.351636743151,rmin_half,"[#1:1]-[#6X3]~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3]~[ENA]
n9,1.370482808197,7,1.375356484307,rmin_half,"[#1:1]-[#6X3](~[#7,#8,#9,#16,#17,#35])~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3](~[ENA])~[ENA]
n11,0.6192778454102,7,0.6326944632102,rmin_half,[#1:1]-[#7],[#1:1]-[#7]
n12,0.2999999999997,7,0.3002083707227,rmin_half,[#1:1]-[#8],[#1:1]-[#8]
n14,1.953447017081,7,1.961265789531,rmin_half,[#6:1],[#6:1]
n15,1.908,7,1.9064331647,rmin_half,[#6X2:1],[#6X2:1]
n16,1.896698071741,7,1.882333921141,rmin_half,[#6X4:1],[#6X4:1]
n17,1.706036917087,7,1.703772778257,rmin_half,[#8:1],[#8:1]
n18,1.697783613804,7,1.708611882504,rmin_half,[#8X2H0+0:1],[#8X2H0+0:1]
n19,1.682099169199,7,1.700535663699,rmin_half,[#8X2H1+0:1],[#8X2H1+0:1]
n20,1.799798315098,7,1.850353838798,rmin_half,[#7:1],[#7:1]
n24,1.85628721824,7,1.8516571517,rmin_half,[#17:1],[#17:1]
n25,1.969806594135,7,1.973416135425,rmin_half,[#35:1],[#35:1]
n2,1.48419980825,8,1.495983965051,rmin_half,[#1:1]-[#6X4],[#1:1]-[#6X4]
n3,1.449786411317,8,1.43405069038,rmin_half,"[#1:1]-[#6X4]-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4]-[ENA]
n4,1.287,8,1.290002048008,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])-[ENA]
n5,1.187,8,1.186778301232,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])(-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])(-[ENA])-[ENA]
n7,1.443812569645,8,1.465838282964,rmin_half,[#1:1]-[#6X3],[#1:1]-[#6X3]
n8,1.377051329051,8,1.357997744358,rmin_half,"[#1:1]-[#6X3]~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3]~[ENA]
n9,1.370482808197,8,1.381344455445,rmin_half,"[#1:1]-[#6X3](~[#7,#8,#9,#16,#17,#35])~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3](~[ENA])~[ENA]
n11,0.6192778454102,8,0.6316700561095,rmin_half,[#1:1]-[#7],[#1:1]-[#7]
n12,0.2999999999997,8,0.3000770057569,rmin_half,[#1:1]-[#8],[#1:1]-[#8]
n14,1.953447017081,8,1.963370806299,rmin_half,[#6:1],[#6:1]
n15,1.908,8,1.900971577259,rmin_half,[#6X2:1],[#6X2:1]
n16,1.896698071741,8,1.878443897525,rmin_half,[#6X4:1],[#6X4:1]
n17,1.706036917087,8,1.707358181632,rmin_half,[#8:1],[#8:1]
n18,1.697783613804,8,1.706994419599,rmin_half,[#8X2H0+0:1],[#8X2H0+0:1]
n19,1.682099169199,8,1.700092486388,rmin_half,[#8X2H1+0:1],[#8X2H1+0:1]
n20,1.799798315098,8,1.846777998398,rmin_half,[#7:1],[#7:1]
n24,1.85628721824,8,1.851770472898,rmin_half,[#17:1],[#17:1]
n25,1.969806594135,8,1.971144143862,rmin_half,[#35:1],[#35:1]
n2,1.48419980825,9,1.49267697841,rmin_half,[#1:1]-[#6X4],[#1:1]-[#6X4]
n3,1.449786411317,9,1.434075477217,rmin_half,"[#1:1]-[#6X4]-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4]-[ENA]
n4,1.287,9,1.28841030844,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])-[ENA]
n5,1.187,9,1.187416729057,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])(-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])(-[ENA])-[ENA]
n7,1.443812569645,9,1.470123308245,rmin_half,[#1:1]-[#6X3],[#1:1]-[#6X3]
n8,1.377051329051,9,1.368564767391,rmin_half,"[#1:1]-[#6X3]~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3]~[ENA]
n9,1.370482808197,9,1.380829984897,rmin_half,"[#1:1]-[#6X3](~[#7,#8,#9,#16,#17,#35])~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3](~[ENA])~[ENA]
n11,0.6192778454102,9,0.6360829494102,rmin_half,[#1:1]-[#7],[#1:1]-[#7]
n12,0.2999999999997,9,0.3003626381647,rmin_half,[#1:1]-[#8],[#1:1]-[#8]
n14,1.953447017081,9,1.963460208281,rmin_half,[#6:1],[#6:1]
n15,1.908,9,1.908863422026,rmin_half,[#6X2:1],[#6X2:1]
n16,1.896698071741,9,1.887878283921,rmin_half,[#6X4:1],[#6X4:1]
n17,1.706036917087,9,1.708874650177,rmin_half,[#8:1],[#8:1]
n18,1.697783613804,9,1.703389580874,rmin_half,[#8X2H0+0:1],[#8X2H0+0:1]
n19,1.682099169199,9,1.699914280099,rmin_half,[#8X2H1+0:1],[#8X2H1+0:1]
n20,1.799798315098,9,1.852306861198,rmin_half,[#7:1],[#7:1]
n24,1.85628721824,9,1.84774243417,rmin_half,[#17:1],[#17:1]
n25,1.969806594135,9,1.966772458215,rmin_half,[#35:1],[#35:1]
n2,1.48419980825,10,1.495554149015,rmin_half,[#1:1]-[#6X4],[#1:1]-[#6X4]
n3,1.449786411317,10,1.434018868179,rmin_half,"[#1:1]-[#6X4]-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4]-[ENA]
n4,1.287,10,1.289463803042,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])-[ENA]
n5,1.187,10,1.186694231612,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])(-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])(-[ENA])-[ENA]
n7,1.443812569645,10,1.471821994583,rmin_half,[#1:1]-[#6X3],[#1:1]-[#6X3]
n8,1.377051329051,10,1.36140739195,rmin_half,"[#1:1]-[#6X3]~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3]~[ENA]
n9,1.370482808197,10,1.376068431676,rmin_half,"[#1:1]-[#6X3](~[#7,#8,#9,#16,#17,#35])~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3](~[ENA])~[ENA]
n11,0.6192778454102,10,0.6492796567702,rmin_half,[#1:1]-[#7],[#1:1]-[#7]
n12,0.2999999999997,10,0.2997028458219,rmin_half,[#1:1]-[#8],[#1:1]-[#8]
n14,1.953447017081,10,1.963653892657,rmin_half,[#6:1],[#6:1]
n15,1.908,10,1.901373507277,rmin_half,[#6X2:1],[#6X2:1]
n16,1.896698071741,10,1.887225583789,rmin_half,[#6X4:1],[#6X4:1]
n17,1.706036917087,10,1.702309574458,rmin_half,[#8:1],[#8:1]
n18,1.697783613804,10,1.707443634007,rmin_half,[#8X2H0+0:1],[#8X2H0+0:1]
n19,1.682099169199,10,1.701157744602,rmin_half,[#8X2H1+0:1],[#8X2H1+0:1]
n20,1.799798315098,10,1.850635904384,rmin_half,[#7:1],[#7:1]
n24,1.85628721824,10,1.851184767556,rmin_half,[#17:1],[#17:1]
n25,1.969806594135,10,1.962265165637,rmin_half,[#35:1],[#35:1]
n2,1.48419980825,11,1.494741304694,rmin_half,[#1:1]-[#6X4],[#1:1]-[#6X4]
n3,1.449786411317,11,1.437362853774,rmin_half,"[#1:1]-[#6X4]-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4]-[ENA]
n4,1.287,11,1.289397303992,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])-[ENA]
n5,1.187,11,1.188131188322,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])(-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])(-[ENA])-[ENA]
n7,1.443812569645,11,1.47149029959,rmin_half,[#1:1]-[#6X3],[#1:1]-[#6X3]
n8,1.377051329051,11,1.367960777013,rmin_half,"[#1:1]-[#6X3]~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3]~[ENA]
n9,1.370482808197,11,1.383500589723,rmin_half,"[#1:1]-[#6X3](~[#7,#8,#9,#16,#17,#35])~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3](~[ENA])~[ENA]
n11,0.6192778454102,11,0.6460727774917,rmin_half,[#1:1]-[#7],[#1:1]-[#7]
n12,0.2999999999997,11,0.3003384392068,rmin_half,[#1:1]-[#8],[#1:1]-[#8]
n14,1.953447017081,11,1.969355799279,rmin_half,[#6:1],[#6:1]
n15,1.908,11,1.897047013936,rmin_half,[#6X2:1],[#6X2:1]
n16,1.896698071741,11,1.885765275447,rmin_half,[#6X4:1],[#6X4:1]
n17,1.706036917087,11,1.70214010788,rmin_half,[#8:1],[#8:1]
n18,1.697783613804,11,1.704455306451,rmin_half,[#8X2H0+0:1],[#8X2H0+0:1]
n19,1.682099169199,11,1.697070532572,rmin_half,[#8X2H1+0:1],[#8X2H1+0:1]
n20,1.799798315098,11,1.846863476459,rmin_half,[#7:1],[#7:1]
n24,1.85628721824,11,1.848469541604,rmin_half,[#17:1],[#17:1]
n25,1.969806594135,11,1.965778468767,rmin_half,[#35:1],[#35:1]
n2,1.48419980825,12,1.494849965301,rmin_half,[#1:1]-[#6X4],[#1:1]-[#6X4]
n3,1.449786411317,12,1.434004552527,rmin_half,"[#1:1]-[#6X4]-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4]-[ENA]
n4,1.287,12,1.288800752565,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])-[ENA]
n5,1.187,12,1.18509337627,rmin_half,"[#1:1]-[#6X4](-[#7,#8,#9,#16,#17,#35])(-[#7,#8,#9,#16,#17,#35])-[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X4](-[ENA])(-[ENA])-[ENA]
n7,1.443812569645,12,1.478139715356,rmin_half,[#1:1]-[#6X3],[#1:1]-[#6X3]
n8,1.377051329051,12,1.367482046529,rmin_half,"[#1:1]-[#6X3]~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3]~[ENA]
n9,1.370482808197,12,1.373210447618,rmin_half,"[#1:1]-[#6X3](~[#7,#8,#9,#16,#17,#35])~[#7,#8,#9,#16,#17,#35]",[#1:1]-[#6X3](~[ENA])~[ENA]
n11,0.6192778454102,12,0.6440819403873,rmin_half,[#1:1]-[#7],[#1:1]-[#7]
n12,0.2999999999997,12,0.2998902314546,rmin_half,[#1:1]-[#8],[#1:1]-[#8]
n14,1.953447017081,12,1.963966308448,rmin_half,[#6:1],[#6:1]
n15,1.908,12,1.900128594442,rmin_half,[#6X2:1],[#6X2:1]
n16,1.896698071741,12,1.889523911554,rmin_half,[#6X4:1],[#6X4:1]
n17,1.706036917087,12,1.707613973014,rmin_half,[#8:1],[#8:1]
n18,1.697783613804,12,1.707828024519,rmin_half,[#8X2H0+0:1],[#8X2H0+0:1]
n19,1.682099169199,12,1.69842538956,rmin_half,[#8X2H1+0:1],[#8X2H1+0:1]
n20,1.799798315098,12,1.849365853494,rmin_half,[#7:1],[#7:1]
n24,1.85628721824,12,1.840713508958,rmin_half,[#17:1],[#17:1]
