,dataset,ligand_A,ligand_B,exp_ddG,exp_err,calc_ddG,calc_err,FF
43,bace,CAT-13a,CAT-4p,-1.239999771118164,0.0,-1.62,0.19,Sage 2.3.0 + AshGC
44,bace,CAT-13n,CAT-13j,-0.1899995803833007,0.0,-0.93,0.1,Sage 2.3.0 + AshGC
45,bace,CAT-4n,CAT-4i,0.8300008773803711,0.0,1.36,0.11,Sage 2.3.0 + AshGC
46,bace,CAT-13o,CAT-13f,-0.5500001907348633,0.0,-0.34,0.37,Sage 2.3.0 + AshGC
47,bace,CAT-13a,CAT-13i,-0.4299993515014648,0.0,-1.78,0.45,Sage 2.3.0 + AshGC
48,bace,CAT-13k,CAT-4b,0.0699996948242187,0.0,-1.52,0.22,Sage 2.3.0 + AshGC
49,p38,2ee,3fln,1.380000114440918,0.0,0.41,0.27,Sage 2.3.0 + AshGC
50,p38,3flw,3fly,-0.7399997711181641,0.0,1.91,0.5,Sage 2.3.0 + AshGC
51,p38,2bb,2v,0.0900001525878906,0.0,2.83,0.86,Sage 2.3.0 + AshGC
52,p38,2v,3fly,-2.449999809265135,0.0,-2.08,0.11,Sage 2.3.0 + AshGC
53,p38,2q,2ee,0.0,0.0,1.88,0.43,Sage 2.3.0 + AshGC
54,p38,2j,2l,-2.1800003051757795,0.0,-2.01,0.12,Sage 2.3.0 + AshGC
55,p38,2j,2p,-1.1199998855590805,0.0,-1.39,0.21,Sage 2.3.0 + AshGC
56,p38,3fmh,3fly,-0.5900001525878871,0.0,0.26,0.82,Sage 2.3.0 + AshGC
57,p38,2j,2t,-1.770000457763672,0.0,-2.27,0.21,Sage 2.3.0 + AshGC
58,p38,3fmk,3fly,0.4099998474121129,0.0,1.82,0.5,Sage 2.3.0 + AshGC
59,p38,2h,2i,-0.5700006484985352,0.0,-0.41,0.07,Sage 2.3.0 + AshGC
60,p38,2n,3fln,0.9700002670288104,0.0,1.48,0.08,Sage 2.3.0 + AshGC
61,p38,2k,2m,-0.4099998474121094,0.0,-2.68,0.15,Sage 2.3.0 + AshGC
62,p38,3flq,2v,0.9600000381469708,0.0,6.39,1.18,Sage 2.3.0 + AshGC
63,p38,2v,2z,-1.3899993896484375,0.0,-1.65,0.37,Sage 2.3.0 + AshGC
64,p38,2j,2ee,-2.1800003051757795,0.0,-1.1,0.58,Sage 2.3.0 + AshGC
65,p38,2gg,3fln,-0.2200002670288086,0.0,-1.46,0.39,Sage 2.3.0 + AshGC
66,p38,2s,2r,0.3199996948242187,0.0,0.58,1.31,Sage 2.3.0 + AshGC
67,p38,2p,3fln,0.3199996948242187,0.0,0.89,0.51,Sage 2.3.0 + AshGC
68,p38,2j,2gg,-0.5799999237060529,0.0,0.58,0.21,Sage 2.3.0 + AshGC
69,p38,2z,3fly,-1.0600004196166974,0.0,0.94,1.2,Sage 2.3.0 + AshGC
70,p38,2aa,3fly,-2.1499996185302717,0.0,-1.19,0.69,Sage 2.3.0 + AshGC
71,p38,2n,2r,1.060000419616701,0.0,0.43,0.3,Sage 2.3.0 + AshGC
72,p38,2c,3flz,0.9700002670288086,0.0,1.75,0.18,Sage 2.3.0 + AshGC
73,p38,2aa,3flq,-0.6599998474121076,0.0,-0.28,1.48,Sage 2.3.0 + AshGC
74,p38,2k,3fln,-0.3299999237060547,0.0,-1.32,0.11,Sage 2.3.0 + AshGC
75,p38,2g,2i,0.6099996566772461,0.0,0.76,0.16,Sage 2.3.0 + AshGC
76,p38,3fln,2v,1.9099998474121096,0.0,2.98,0.34,Sage 2.3.0 + AshGC
77,p38,2x,2v,1.2599992752075195,0.0,1.54,0.09,Sage 2.3.0 + AshGC
78,p38,2u,2k,1.7100000381469729,0.0,2.44,1.04,Sage 2.3.0 + AshGC
79,p38,2x,3fly,-1.1900005340576154,0.0,-0.44,0.13,Sage 2.3.0 + AshGC
80,p38,2aa,3flw,-1.4099998474121076,0.0,-1.75,0.83,Sage 2.3.0 + AshGC
81,p38,2g,2h,1.1800003051757812,0.0,1.16,0.1,Sage 2.3.0 + AshGC
82,p38,2f,2e,-2.2200002670288086,0.0,0.02,0.08,Sage 2.3.0 + AshGC
83,p38,2t,3fln,0.9700002670288104,0.0,1.73,0.07,Sage 2.3.0 + AshGC
84,p38,2o,3fln,-0.3900003433227539,0.0,3.7,0.99,Sage 2.3.0 + AshGC
85,p38,2j,2ff,-1.3599996566772443,0.0,-0.6,0.28,Sage 2.3.0 + AshGC
86,p38,2q,2k,1.7100000381469729,0.0,3.05,0.24,Sage 2.3.0 + AshGC
87,p38,2u,3fln,1.380000114440918,0.0,2.44,1.06,Sage 2.3.0 + AshGC
88,p38,2l,3fln,1.380000114440918,0.0,1.24,0.09,Sage 2.3.0 + AshGC
89,p38,2n,2s,0.7400007247924822,0.0,0.06,0.33,Sage 2.3.0 + AshGC
90,p38,2j,2v,1.109999656677248,0.0,1.92,0.25,Sage 2.3.0 + AshGC
91,p38,2y,2v,0.8099994659423828,0.0,1.92,0.31,Sage 2.3.0 + AshGC
92,p38,2o,2n,-1.3600006103515645,0.0,-0.25,0.64,Sage 2.3.0 + AshGC
93,p38,2j,2k,-0.4700002670288068,0.0,0.73,0.11,Sage 2.3.0 + AshGC
94,p38,2ff,3fln,0.5599994659423828,0.0,-0.0,0.07,Sage 2.3.0 + AshGC
95,p38,3fln,2e,0.1800003051757812,0.0,1.15,0.1,Sage 2.3.0 + AshGC
96,p38,2f,3flz,-1.010000228881836,0.0,-0.58,0.03,Sage 2.3.0 + AshGC
97,p38,2g,2c,0.1999998092651367,0.0,-0.69,0.19,Sage 2.3.0 + AshGC
98,p38,2g,3flz,1.170000076293945,0.0,0.69,0.04,Sage 2.3.0 + AshGC
99,p38,2g,3fln,-0.2200002670288086,0.0,0.35,0.03,Sage 2.3.0 + AshGC
100,jnk1,17124-1,18637-1,-0.4600000381469744,0.0,-0.37,0.1,Sage 2.3.0 + AshGC
101,jnk1,18636-1,18625-1,-0.5999994277954102,0.0,0.84,0.06,Sage 2.3.0 + AshGC
102,jnk1,18659-1,18660-1,0.7700004577636719,0.0,-0.47,0.22,Sage 2.3.0 + AshGC
103,jnk1,18630-1,18624-1,0.6500005722045898,0.0,0.42,0.04,Sage 2.3.0 + AshGC
104,jnk1,17124-1,18634-1,-0.3099994659423846,0.0,0.44,0.11,Sage 2.3.0 + AshGC
105,jnk1,18630-1,18633-1,-0.0299997329711896,0.0,-0.13,0.14,Sage 2.3.0 + AshGC
106,jnk1,18639-1,18637-1,-0.4000005722045898,0.0,0.19,0.47,Sage 2.3.0 + AshGC
107,jnk1,18627-1,18633-1,-0.6900005340576154,0.0,-0.21,0.14,Sage 2.3.0 + AshGC
108,jnk1,18628-1_flip,18625-1,0.5900001525878906,0.0,-0.59,0.09,Sage 2.3.0 + AshGC
109,jnk1,18634-1,18652-1,-0.6900005340576154,0.0,-0.45,0.2,Sage 2.3.0 + AshGC
110,jnk1,18634-1,18631-1,0.5799999237060547,0.0,0.96,0.05,Sage 2.3.0 + AshGC
111,jnk1,18638-1,18634-1,0.1000003814697265,0.0,0.22,0.22,Sage 2.3.0 + AshGC
112,jnk1,18659-1,18634-1,-0.5199995040893555,0.0,-0.65,0.2,Sage 2.3.0 + AshGC
113,jnk1,18639-1,18634-1,-0.25,0.0,1.0,0.09,Sage 2.3.0 + AshGC
114,jnk1,18632-1,18624-1,0.5900001525878924,0.0,0.72,0.09,Sage 2.3.0 + AshGC
115,jnk1,18631-1,18625-1,1.3000001907348633,0.0,1.4,0.32,Sage 2.3.0 + AshGC
116,jnk1,18626-1,18624-1,0.3800001144409179,0.0,0.82,0.05,Sage 2.3.0 + AshGC
117,jnk1,18659-1,18658-1,-0.2299995422363281,0.0,-1.08,0.68,Sage 2.3.0 + AshGC
118,jnk1,18636-1,18635-1,0.2200002670288086,0.0,0.72,0.12,Sage 2.3.0 + AshGC
119,jnk1,18635-1,18625-1,-0.8199996948242188,0.0,-0.06,0.17,Sage 2.3.0 + AshGC
120,jnk1,18629-1,18624-1,0.1800003051757812,0.0,0.57,0.06,Sage 2.3.0 + AshGC
121,jnk1,18631-1,18624-1,0.9200000762939452,0.0,1.53,0.2,Sage 2.3.0 + AshGC
122,jnk1,18628-1_flip,18627-1,0.2200002670288086,0.0,-0.67,0.09,Sage 2.3.0 + AshGC
123,jnk1,18630-1,18632-1,0.0600004196166974,0.0,-0.31,0.1,Sage 2.3.0 + AshGC
124,jnk1,18658-1,18631-1,0.2899999618530273,0.0,1.02,0.07,Sage 2.3.0 + AshGC
125,jnk1,18638-1,18652-1,-0.5900001525878888,0.0,-0.3,0.06,Sage 2.3.0 + AshGC
126,jnk1,18626-1,18629-1,0.1999998092651367,0.0,0.21,0.04,Sage 2.3.0 + AshGC
127,cdk2,1oiy,1h1q,1.609999656677246,0.0,1.59,0.2,Sage 2.3.0 + AshGC
128,cdk2,1h1s,32,1.5,0.0,1.36,0.14,Sage 2.3.0 + AshGC
129,cdk2,28,1h1s,-0.1400003433227539,0.0,-0.33,0.16,Sage 2.3.0 + AshGC
130,cdk2,17,1h1q,-1.140000343322754,0.0,0.71,0.22,Sage 2.3.0 + AshGC
131,cdk2,30,31,0.2700004577636719,0.0,0.36,0.18,Sage 2.3.0 + AshGC
132,cdk2,1h1r,1h1q,-0.5100002288818359,0.0,0.68,0.06,Sage 2.3.0 + AshGC
133,cdk2,26,1oi9,-1.3099994659423828,0.0,-1.31,0.34,Sage 2.3.0 + AshGC
134,cdk2,1h1s,31,1.7100000381469729,0.0,1.93,1.01,Sage 2.3.0 + AshGC
135,cdk2,20,1h1q,0.5399999618530273,0.0,1.32,0.11,Sage 2.3.0 + AshGC
136,cdk2,1oiy,1oi9,0.0500001907348632,0.0,-1.12,0.28,Sage 2.3.0 + AshGC
137,cdk2,30,29,-0.0699996948242187,0.0,-0.95,0.3,Sage 2.3.0 + AshGC
138,cdk2,17,1h1r,-0.630000114440918,0.0,-0.07,0.02,Sage 2.3.0 + AshGC
139,cdk2,22,1h1q,-0.3200001716613769,0.0,-0.62,0.13,Sage 2.3.0 + AshGC
140,cdk2,31,1h1q,1.359999656677246,0.0,1.17,0.53,Sage 2.3.0 + AshGC
141,cdk2,17,1oiu,-2.039999961853029,0.0,-1.58,0.4,Sage 2.3.0 + AshGC
142,cdk2,21,1h1q,-0.3500003814697265,0.0,-0.11,0.33,Sage 2.3.0 + AshGC
143,cdk2,1oiu,1h1q,0.8999996185302752,0.0,2.59,0.31,Sage 2.3.0 + AshGC
144,cdk2,30,1h1s,-1.4399995803833008,0.0,-1.26,0.9,Sage 2.3.0 + AshGC
145,cdk2,31,1oi9,-0.1999998092651367,0.0,-1.58,0.41,Sage 2.3.0 + AshGC
146,cdk2,22,1oi9,-1.87999963760376,0.0,-2.82,0.99,Sage 2.3.0 + AshGC
147,cdk2,26,1h1q,0.25,0.0,0.72,0.31,Sage 2.3.0 + AshGC
148,cdk2,21,20,-0.8900003433227539,0.0,-1.19,0.66,Sage 2.3.0 + AshGC
149,cdk2,31,29,-0.3400001525878906,0.0,0.46,0.24,Sage 2.3.0 + AshGC
150,cdk2,28,32,1.359999656677246,0.0,0.74,1.11,Sage 2.3.0 + AshGC
151,ptp1b,23474,23466,1.2599997520446775,0.0,3.73,0.07,Sage 2.3.0 + AshGC
152,ptp1b,23467,23474,-1.7699995040893557,0.0,-2.67,0.29,Sage 2.3.0 + AshGC
153,ptp1b,23466,23330,-2.2800002098083496,0.0,-5.19,0.54,Sage 2.3.0 + AshGC
154,ptp1b,20669,23466,0.7599997520446777,0.0,1.89,0.23,Sage 2.3.0 + AshGC
155,ptp1b,23467,23466,-0.5099997520446777,0.0,0.5,0.06,Sage 2.3.0 + AshGC
156,ptp1b,23484,23486,-4.720000267028809,0.0,-0.76,0.05,Sage 2.3.0 + AshGC
157,ptp1b,23467,20669,-1.2699995040893557,0.0,-1.34,0.08,Sage 2.3.0 + AshGC
158,ptp1b,23482,23486,-2.4600000381469727,0.0,-1.89,0.15,Sage 2.3.0 + AshGC
159,ptp1b,23466,20670,-1.230000019073488,0.0,-3.42,0.16,Sage 2.3.0 + AshGC
160,ptp1b,23471,23470,0.0300002098083496,0.0,-1.67,0.12,Sage 2.3.0 + AshGC
161,ptp1b,23471,23472,-0.8999996185302734,0.0,-1.42,0.1,Sage 2.3.0 + AshGC
162,ptp1b,20667,23486,-1.050000190734865,0.0,-0.44,0.03,Sage 2.3.0 + AshGC
163,ptp1b,23483,23480,1.1499996185302734,0.0,0.79,0.54,Sage 2.3.0 + AshGC
164,ptp1b,23467,23468,-0.4099998474121094,0.0,-0.98,0.24,Sage 2.3.0 + AshGC
165,ptp1b,23471,23466,-0.0999999046325683,0.0,1.56,0.17,Sage 2.3.0 + AshGC
166,ptp1b,23477,23330,-1.2799997329711914,0.0,-2.24,0.16,Sage 2.3.0 + AshGC
167,ptp1b,23482,23479,0.869999885559082,0.0,1.77,0.27,Sage 2.3.0 + AshGC
168,ptp1b,23471,23468,0.0,0.0,-0.06,0.16,Sage 2.3.0 + AshGC
169,ptp1b,23477,23466,1.0000004768371582,0.0,3.39,0.33,Sage 2.3.0 + AshGC
170,ptp1b,23467,23476,-2.0699996948242188,0.0,-3.78,0.15,Sage 2.3.0 + AshGC
171,ptp1b,23477,20670,-0.2299995422363299,0.0,-0.5,0.05,Sage 2.3.0 + AshGC
172,ptp1b,23467,23473,-1.0500001907348633,0.0,-2.13,0.11,Sage 2.3.0 + AshGC
173,ptp1b,23469,23473,-0.6700005531311035,0.0,-0.81,0.05,Sage 2.3.0 + AshGC
174,ptp1b,23473,23466,0.5400004386901855,0.0,2.36,0.45,Sage 2.3.0 + AshGC
175,ptp1b,23466,23472,-0.7999997138977051,0.0,-3.21,0.13,Sage 2.3.0 + AshGC
176,ptp1b,23484,23485,-3.260000228881836,0.0,1.48,0.11,Sage 2.3.0 + AshGC
177,ptp1b,23480,20670,-0.3599996566772478,0.0,0.51,0.26,Sage 2.3.0 + AshGC
178,ptp1b,23466,23475,-0.8700003623962402,0.0,-3.74,0.23,Sage 2.3.0 + AshGC
179,ptp1b,23483,23479,0.7299995422363281,0.0,1.64,0.24,Sage 2.3.0 + AshGC
180,ptp1b,20667,23485,0.4099998474121076,0.0,1.99,0.11,Sage 2.3.0 + AshGC
181,ptp1b,20667,23482,1.4099998474121076,0.0,1.4,0.14,Sage 2.3.0 + AshGC
182,ptp1b,23476,23466,1.559999942779541,0.0,4.16,0.27,Sage 2.3.0 + AshGC
183,ptp1b,23480,23479,-0.4200000762939453,0.0,0.76,0.25,Sage 2.3.0 + AshGC
184,ptp1b,23477,23479,-0.2899999618530273,0.0,-0.63,0.26,Sage 2.3.0 + AshGC
185,tyk2,ejm_31,ejm_45,-0.0200004577636718,0.0,0.53,0.3,Sage 2.3.0 + AshGC
186,tyk2,ejm_44,ejm_43,-0.8400001525878906,0.0,-1.09,0.11,Sage 2.3.0 + AshGC
187,tyk2,ejm_43,ejm_42,-1.5199995040893557,0.0,-1.91,0.15,Sage 2.3.0 + AshGC
188,tyk2,ejm_50,ejm_48,-0.0200004577636718,0.0,0.79,0.37,Sage 2.3.0 + AshGC
189,tyk2,ejm_42,ejm_54,-0.75,0.0,0.16,0.79,Sage 2.3.0 + AshGC
190,tyk2,ejm_50,ejm_42,-0.8000001907348633,0.0,-0.38,0.1,Sage 2.3.0 + AshGC
191,tyk2,jmc_27,ejm_46,-0.0300006866455078,0.0,0.46,0.07,Sage 2.3.0 + AshGC
192,tyk2,ejm_49,ejm_31,-1.7899999618530271,0.0,-1.07,0.2,Sage 2.3.0 + AshGC
193,tyk2,ejm_55,ejm_54,-1.3199996948242188,0.0,0.7,0.19,Sage 2.3.0 + AshGC
194,tyk2,ejm_50,ejm_55,-0.2300004959106445,0.0,-1.0,0.15,Sage 2.3.0 + AshGC
195,tyk2,jmc_30,ejm_46,-0.3700008392333984,0.0,1.02,0.07,Sage 2.3.0 + AshGC
196,tyk2,ejm_31,ejm_46,-1.770000457763672,0.0,-0.74,0.12,Sage 2.3.0 + AshGC
197,tyk2,ejm_31,ejm_42,-0.239999771118164,0.0,0.66,0.1,Sage 2.3.0 + AshGC
198,tyk2,ejm_47,ejm_50,0.7200002670288086,0.0,0.07,0.13,Sage 2.3.0 + AshGC
199,tyk2,jmc_28,jmc_30,0.0399999618530273,0.0,-0.87,0.04,Sage 2.3.0 + AshGC
200,tyk2,jmc_23,jmc_27,0.4200000762939453,0.0,-0.16,0.04,Sage 2.3.0 + AshGC
201,tyk2,ejm_31,ejm_48,0.5399999618530273,0.0,0.96,0.21,Sage 2.3.0 + AshGC
202,tyk2,jmc_23,ejm_31,2.15999984741211,0.0,1.1,0.1,Sage 2.3.0 + AshGC
203,tyk2,ejm_49,ejm_50,-1.229999542236328,0.0,-0.71,0.18,Sage 2.3.0 + AshGC
204,tyk2,ejm_31,ejm_44,2.119999885559082,0.0,2.7,0.16,Sage 2.3.0 + AshGC
205,tyk2,jmc_23,jmc_28,0.7200002670288086,0.0,0.21,0.11,Sage 2.3.0 + AshGC
206,tyk2,ejm_47,ejm_31,0.1599998474121093,0.0,-0.51,0.15,Sage 2.3.0 + AshGC
207,mcl1,26,68,0.549999714000001,0.3708633645967204,0.89,0.06,Sage 2.3.0 + AshGC
208,mcl1,32,33,-0.3000001900000004,0.2108077718622938,-0.81,0.03,Sage 2.3.0 + AshGC
209,mcl1,65,67,0.8299999229999999,0.1943155412931798,0.63,0.13,Sage 2.3.0 + AshGC
210,mcl1,42,68,1.209999562000001,0.3184153996361528,0.46,0.04,Sage 2.3.0 + AshGC
211,mcl1,42,57,-0.1400003429999987,0.2025488297052552,0.14,0.1,Sage 2.3.0 + AshGC
212,mcl1,56,58,-0.1499996180000007,0.0539321074076414,-1.83,0.05,Sage 2.3.0 + AshGC
213,mcl1,33,34,0.0100002280000008,0.2611859517191229,-1.16,0.21,Sage 2.3.0 + AshGC
214,mcl1,23,66,0.399999618999999,0.1332388886188016,-1.49,0.04,Sage 2.3.0 + AshGC
215,mcl1,52,53,-0.7300004960000006,0.2048955516309386,-0.96,0.1,Sage 2.3.0 + AshGC
216,mcl1,23,42,-0.0699996950000017,0.1869593256471455,-0.01,0.12,Sage 2.3.0 + AshGC
217,mcl1,27,28,-0.5,0.1240608010850675,0.23,0.21,Sage 2.3.0 + AshGC
218,mcl1,27,43 flip,-0.9100003240000004,0.1299649308657648,-0.67,0.27,Sage 2.3.0 + AshGC
219,mcl1,51,62,0.489999770999999,0.255109640885622,0.15,0.11,Sage 2.3.0 + AshGC
220,mcl1,27,46 flip,-1.4800000190000002,0.1226371649218526,-1.07,0.1,Sage 2.3.0 + AshGC
221,mcl1,43 flip,47 flip,1.25,0.1702329813028259,0.53,0.07,Sage 2.3.0 + AshGC
222,mcl1,33,48 flip,0.2200002670000005,0.1768291560808441,5.36,0.74,Sage 2.3.0 + AshGC
223,mcl1,54,64,0.2799997330000003,0.24833333336,0.21,0.15,Sage 2.3.0 + AshGC
224,mcl1,26,57,-0.8000001909999988,0.277808021643576,0.86,0.05,Sage 2.3.0 + AshGC
225,mcl1,50,61,1.25,0.2811326377352868,-0.01,0.11,Sage 2.3.0 + AshGC
226,mcl1,27,42,-2.7799997330000012,0.2173385607304739,-1.66,1.03,Sage 2.3.0 + AshGC
227,mcl1,26,27,2.1199998850000012,0.2887686244295647,2.44,0.42,Sage 2.3.0 + AshGC
228,mcl1,60,63,-0.1400003439999988,0.0971618249365459,-1.91,0.02,Sage 2.3.0 + AshGC
229,mcl1,42,44,0.2299995429999999,0.181032380354026,-1.14,0.06,Sage 2.3.0 + AshGC
230,mcl1,28,38 flip,-0.4000000950000002,0.1649078721272494,-4.85,0.92,Sage 2.3.0 + AshGC
231,mcl1,27,39,-0.9100003240000004,0.1327815235176787,-1.57,0.45,Sage 2.3.0 + AshGC
232,mcl1,33,41 flip,-0.25,0.1850066395498954,-1.68,0.38,Sage 2.3.0 + AshGC
233,mcl1,35,49,0.4500007630000002,0.2491483276165298,0.45,0.11,Sage 2.3.0 + AshGC
234,mcl1,42,51,0.4499998100000013,0.2727169821871053,0.46,0.2,Sage 2.3.0 + AshGC
235,mcl1,42,54,-0.8800001139999996,0.2684902113357948,-1.85,0.1,Sage 2.3.0 + AshGC
236,mcl1,37,60,0.0299997329999985,0.298581463967541,-0.13,0.18,Sage 2.3.0 + AshGC
237,mcl1,42,66,0.4699993140000007,0.2191709612262531,-1.51,0.14,Sage 2.3.0 + AshGC
238,mcl1,27,40 flip,-1.1300001140000004,0.1256972658007068,-2.24,0.32,Sage 2.3.0 + AshGC
239,mcl1,33,35,-1.9300003059999993,0.2816386961939657,-1.03,0.37,Sage 2.3.0 + AshGC
240,mcl1,32,34,-0.2899999619999995,0.2246043987723282,-2.07,0.05,Sage 2.3.0 + AshGC
241,mcl1,31,35,-0.8900003439999997,0.2213629410035575,0.76,0.13,Sage 2.3.0 + AshGC
242,mcl1,30 flip,37,-1.0999999039999997,0.3524587950528728,-2.93,0.22,Sage 2.3.0 + AshGC
243,mcl1,27,45,-2.829999923,0.2325638521194381,-2.74,1.27,Sage 2.3.0 + AshGC
244,mcl1,49,50,-0.9700002669999996,0.1898972748957227,-0.61,0.11,Sage 2.3.0 + AshGC
245,mcl1,35,37,-0.1399993889999997,0.3701606599049823,-0.83,0.09,Sage 2.3.0 + AshGC
246,mcl1,27,30 flip,-1.7300000190000002,0.2236977940549839,-0.37,0.11,Sage 2.3.0 + AshGC
247,mcl1,60,67,1.3400001520000009,0.0272318759834295,-0.71,0.08,Sage 2.3.0 + AshGC
248,mcl1,53,58,0.5500001910000005,0.1996461926777022,0.1,0.09,Sage 2.3.0 + AshGC
249,mcl1,28,39,-0.4100003240000003,0.0615387166234277,-1.47,0.16,Sage 2.3.0 + AshGC
250,mcl1,27,31,-1.8000001900000004,0.1241134092811713,-2.85,0.23,Sage 2.3.0 + AshGC
251,mcl1,60,65,0.510000229000001,0.194192522431953,-1.45,0.08,Sage 2.3.0 + AshGC
252,mcl1,37,53,-1.010000229000001,0.3561604634433917,-2.1,0.09,Sage 2.3.0 + AshGC
253,mcl1,35,36,0.6300001149999996,0.2261649476877054,-1.19,0.06,Sage 2.3.0 + AshGC
254,mcl1,36,52,-1.0499992369999998,0.0828949985175562,-0.39,0.09,Sage 2.3.0 + AshGC
255,mcl1,27,48 flip,-0.5399999610000004,0.1215755330757863,3.87,0.31,Sage 2.3.0 + AshGC
256,mcl1,33,45,-2.069999694999999,0.2656574589772209,-1.48,0.25,Sage 2.3.0 + AshGC
257,mcl1,60,61,0.8400001520000018,0.2391264323009901,0.62,0.13,Sage 2.3.0 + AshGC
258,mcl1,37,56,-0.3100004199999997,0.2998338634626495,-0.14,0.13,Sage 2.3.0 + AshGC
259,mcl1,42,62,0.9399995810000004,0.2365237297829773,0.6,0.34,Sage 2.3.0 + AshGC
