Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,EnthalpyOfMixing Value (kJ / mol),EnthalpyOfMixing Uncertainty (kJ / mol),Density Value (g / ml),Density Uncertainty (g / ml),Source
dhmix_74169972508019963,308.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.7266,,C1CCOCC1,Solvent,0.2734,,0.4424,,,,10.1016/j.tca.2010.03.028
dhmix_76674223723028407,298.15,101.0,Liquid,2,CN1CCCC1=O,Solvent,0.6359,,c1ccncc1,Solvent,0.3641,,-0.4013,,,,10.1016/j.jct.2013.09.015
dens_78006006148735265,293.15,101.325,Liquid,2,Cc1cccnc1,Solvent,0.5,,O,Solvent,0.5,,,,0.9797000000000002,,10.1016/j.jct.2004.11.009
dhmix_78810465534250245,298.15,101.0,Liquid,2,CCCCC,Solvent,0.5001,,CCOC=O,Solvent,0.4999,,1.354,,,,10.1016/j.fluid.2013.11.026
dhmix_79456699048824806,298.15,101.0,Liquid,2,CN1CCCC1=O,Solvent,0.5,,ClCCCl,Solvent,0.5,,-1.264,,,,10.1016/j.jct.2008.01.024
dens_83483902364127306,298.15,101.0,Liquid,2,CN(CCO)CCO,Solvent,0.23126,,c1ccncc1,Solvent,0.76874,,,,0.9906030000000002,,10.1021/je400184t
dhmix_83497938153913948,308.15,101.0,Liquid,2,CCOc1ccccc1,Solvent,0.4852,,OCCc1ccccc1,Solvent,0.5148,,1.0249,,,,10.1021/je050085p
dens_83694892672736667,303.15,101.0,Liquid,2,CC(C)CC(C)(C)C,Solvent,0.0824,,CCO,Solvent,0.9176,,,,0.7605800000000003,,10.1021/je9001416
dhmix_84368047197915959,298.15,100.0,Liquid,2,CCCCC(=O)OC,Solvent,0.2347,,COC(C)=O,Solvent,0.7653,,0.173,,,,10.1021/acs.jced.5b00813
dhmix_86370789880544094,298.15,101.3,Liquid,2,CC(C)CO,Solvent,0.499,,CCCCBr,Solvent,0.501,,1.207,,,,10.1021/je020110g
dens_87148162616686471,298.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.4994,,CCCCCO,Solvent,0.5006,,,,0.8425400000000002,,10.1021/je060368x
dhmix_88543247559620006,308.15,101.32,Liquid,2,OCCOCCO,Solvent,0.7658,,OCc1ccccc1,Solvent,0.2342,,-0.3712,,,,10.1021/je0342062
dhmix_88605880388684165,298.15,101.0,Liquid,2,c1cc[nH]c1,Solvent,0.8208,,c1ccccc1,Solvent,0.1792,,0.3441,,,,10.1016/j.fluid.2013.10.029
dens_89275337881837634,298.15,101.0,Liquid,2,O,Solvent,0.4994,,OCCOCCO,Solvent,0.5006,,,,1.1070700000000002,,10.1021/je700672f
dens_91603538841180827,298.15,101.0,Liquid,2,CC(C)O,Solvent,0.4981,,O,Solvent,0.5019,,,,0.8388000000000001,,10.1021/je700700f
dens_94260345926446663,298.15,101.3,Liquid,2,C1COCO1,Solvent,0.5071,,CCCCCC(C)=O,Solvent,0.4929,,,,0.8936300000000003,,10.1021/je034223r
dens_94449417795092682,298.15,101.0,Liquid,2,CN(C)CCCO,Solvent,0.8006,,O,Solvent,0.1994,,,,0.8915100000000002,,10.1016/j.tca.2012.05.025
dens_96164616347760886,298.15,100.0,Liquid,2,CCCC(=O)OC,Solvent,0.6958,,COC(C)=O,Solvent,0.3042,,,,0.8997600000000002,,10.1021/acs.jced.5b00813
dhmix_96975902268639908,298.15,101.0,Liquid,2,CNCCO,Solvent,0.1992,,O,Solvent,0.8008,,-2.243,,,,10.1016/j.jct.2007.03.010
dens_99766236504772178,298.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.2297,,Cc1ccccc1N,Solvent,0.7703,,,,0.9734540000000002,,10.1016/j.tca.2011.06.020
dhmix_101733304349279805,303.15,101.0,Liquid,2,CC(C)CC(C)(C)C,Solvent,0.5158,,CCO,Solvent,0.4842,,0.638973,,,,10.1021/je7005743
dens_103502093515613187,298.15,101.0,Liquid,2,CCOC=O,Solvent,0.2317,,ClCCCl,Solvent,0.7683,,,,1.1687800000000002,,10.1016/j.jct.2006.10.008
dhmix_103816457580247885,298.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.1995,,CC(C)O,Solvent,0.8005,,0.438,,,,10.1016/j.jct.2015.01.013
dens_105313115699151872,293.15,101.0,Liquid,2,C=C(C)[C@H]1CC=C(C)CC1,Solvent,0.7252,,CCCCCO,Solvent,0.2748,,,,0.8354000000000001,,10.1016/j.fluid.2010.03.001
dens_107653736005071144,293.15,100.0,Liquid,2,C=CCCCC,Solvent,0.9,,CCCCO,Solvent,0.1,,,,0.6818000000000001,,10.1021/je301301j
dens_108046941138830346,298.15,101.33,Liquid,2,c1cc[nH]c1,Solvent,0.5426,,c1ccncc1,Solvent,0.4574,,,,0.9706400000000002,,10.1016/j.fluid.2013.10.029
dhmix_110795338745815995,308.15,101.0,Liquid,2,COc1ccccc1,Solvent,0.2374,,OCCCc1ccccc1,Solvent,0.7626,,0.6076,,,,10.1021/je050085p
dhmix_112611193464982802,298.15,101.0,Liquid,2,C=CCCCC,Solvent,0.7499,,CCCCO,Solvent,0.2501,,0.63978,,,,10.1016/j.fluid.2011.11.005
dens_119102000982130073,298.15,100.0,Liquid,2,CN1CCCC1=O,Solvent,0.7003,,ClCCCCCl,Solvent,0.2997,,,,1.0627000000000002,,10.1021/je7003758
dens_120892363449944036,298.15,101.325,Liquid,1,CNCCO,Solvent,1.0,,,,,,,,0.93618,,10.1021/je1002626
dens_124774773355671918,298.15,100.0,Liquid,2,CN(C)C=O,Solvent,0.7512,,Cc1ccccc1Cl,Solvent,0.2488,,,,0.9898800000000002,,10.1016/j.jct.2013.12.006
dens_125539262346348921,298.15,101.0,Liquid,2,CCC(C)=O,Solvent,0.9019,,Nc1ccccc1,Solvent,0.0981,,,,0.8265540000000001,,10.1021/je100472t
dhmix_128388327726625929,298.15,101.0,Liquid,2,OC1=NCCC1,Solvent,0.2615,,c1ccncc1,Solvent,0.7385,,0.165,,,,10.1016/j.jct.2013.09.015
dens_131194519632539911,298.15,101.0,Liquid,2,c1cc[nH]c1,Solvent,0.503,,c1ccccc1,Solvent,0.497,,,,0.9220400000000002,,10.1021/je100526j
dens_133045995616702696,298.15,101.0,Liquid,2,CCC(C)=O,Solvent,0.5018,,CCCCNCCCC,Solvent,0.4982,,,,0.7693960000000002,,10.1016/j.tca.2010.09.004
dhmix_133328098640946323,308.15,100.0,Liquid,2,C1COCCO1,Solvent,0.7716,,O=C1CCCCCC1,Solvent,0.2284,,0.0694,,,,10.1021/acs.jced.6b00606
dens_134864154942687512,293.15,101.0,Liquid,2,O,Solvent,0.2561,,OCCN1CCOCC1,Solvent,0.7439,,,,1.08031,,10.1016/j.jct.2008.01.007
dens_136988529157691237,298.15,101.325,Liquid,1,CCCCOC(=O)CCC,Solvent,1.0,,,,,,,,0.8691400000000002,,10.1021/je050001c
dens_142575917425682390,298.15,101.0,Liquid,2,CC(=O)c1ccccc1,Solvent,0.7561,,CC(C)O,Solvent,0.2439,,,,0.9823500000000004,,10.1021/je9005823
dhmix_146763019042030135,298.15,101.0,Liquid,2,NCCNCCO,Solvent,0.77,,O,Solvent,0.23,,-1.711,,,,10.1016/j.jct.2007.03.010
dens_149817534233938393,298.15,101.3,Liquid,2,NCCCO,Solvent,0.272809,,O,Solvent,0.727191,,,,1.0118000000000005,,10.1021/acs.jced.5b00412
dhmix_152445132158621443,298.15,101.0,Liquid,2,CCCCOC(C)=O,Solvent,0.5018,,CCOC(C)=O,Solvent,0.4982,,0.076,,,,10.1021/je400036b
dhmix_152505525412600849,298.15,101.0,Liquid,2,CC(C)=O,Solvent,0.7097,,CNc1ccccc1,Solvent,0.2903,,-0.525,,,,10.1021/je200333p
dens_155352280513761358,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.7336,,c1ccncc1,Solvent,0.2664,,,,0.8933350000000002,,10.1016/j.tca.2011.02.002
dens_157582139531786034,297.98,101.325,Liquid,1,BrCCCBr,Solvent,1.0,,,,,,,,1.9702200000000003,,10.1007/s10765-009-0610-6
dhmix_158715643490892127,303.15,100.0,Liquid,2,CCN(CC)CCO,Solvent,0.7003,,O,Solvent,0.2997,,-1.75,,,,10.1016/j.jct.2015.04.030
dhmix_158939398930301492,313.15,101.0,Liquid,2,CC(C)O,Solvent,0.2031,,O,Solvent,0.7969,,-0.3026,,,,10.1016/j.jct.2007.12.002
dens_159543886273622430,298.15,101.0,Liquid,2,CCC(C)=O,Solvent,0.7473,,CCCCNCCCC,Solvent,0.2527,,,,0.7810500000000001,,10.1016/j.tca.2010.09.004
dhmix_160957310410133702,298.15,101.0,Liquid,2,CCC(C)=O,Solvent,0.6984,,CCCNCCC,Solvent,0.3016,,0.334,,,,10.1016/j.fluid.2013.01.011
dhmix_166542370061769676,298.15,101.3,Liquid,2,CCC(C)(C)O,Solvent,0.7306,,CCO,Solvent,0.2694,,-0.7709,,,,10.1021/je101031j
dhmix_166642588975237136,303.15,100.0,Liquid,2,CN(C)CCCO,Solvent,0.1998,,O,Solvent,0.8002,,-2.514,,,,10.1016/j.jct.2015.04.030
dhmix_166790631138187357,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.4834,,Cc1ccncc1,Solvent,0.5166,,0.1741,,,,10.1016/j.tca.2011.02.002
dhmix_167788031401987151,298.15,101.0,Liquid,2,CN(C)C=O,Solvent,0.796,,ClCCCCCCCl,Solvent,0.204,,0.24,,,,10.1016/j.jct.2007.06.017
dens_168610124663398309,298.15,101.325,Liquid,1,Cc1cccnc1,Solvent,1.0,,,,,,,,0.9526100000000004,,10.1021/je200093f
dens_169123890777596370,298.15,100.0,Liquid,2,CNC=O,Solvent,0.7463,,Cc1ccccc1Cl,Solvent,0.2537,,,,1.0297000000000005,,10.1016/j.jct.2013.12.006
dens_176338892171529578,298.15,101.0,Liquid,2,CN1CCCCC1,Solvent,0.7907,,O,Solvent,0.2093,,,,0.8260470000000002,,10.1016/j.fluid.2010.05.001
dhmix_178284522242595679,303.15,100.0,Liquid,2,NCCNCCN,Solvent,0.2416,,O,Solvent,0.7584,,-6.523,,,,10.1016/j.jct.2015.04.030
dens_183509301968435448,308.15,100.0,Liquid,2,C1COCCO1,Solvent,0.5723,,O=C1CCCCCC1,Solvent,0.4277,,,,0.9737000000000002,,10.1021/acs.jced.6b00606
dhmix_184826438223714159,298.15,101.0,Liquid,2,BrCCBr,Solvent,0.0595,,COC=O,Solvent,0.9405,,0.1715,,,,10.1016/j.jct.2006.05.004
dens_186844207901054288,308.15,101.0,Liquid,2,CCCCCCC,Solvent,0.4922,,c1ccccc1,Solvent,0.5078,,,,0.7409000000000001,,10.1007/s10765-009-0667-2
dhmix_190186941781858320,298.15,101.0,Liquid,2,BrCCBr,Solvent,0.5086,,CCC(=O)OC,Solvent,0.4914,,0.0195,,,,10.1016/j.jct.2006.05.004
dens_192834401074081409,298.15,101.0,Liquid,2,CC1(C)C(=O)[C@]2(C)CC[C@H]1C2,Solvent,0.2002,,CCO,Solvent,0.7998,,,,0.8499000000000002,,10.1016/j.jct.2013.09.024
dens_198407569448676752,298.15,101.0,Liquid,2,NCCO,Solvent,0.55864,,c1ccncc1,Solvent,0.44136,,,,0.9936870000000002,,10.1021/je400184t
dhmix_202049157252358493,308.15,101.0,Liquid,2,CCOCCO,Solvent,0.4786,,c1ccccc1,Solvent,0.5214,,0.4912,,,,10.1016/j.fluid.2006.04.016
dens_205624950514957562,298.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.2633,,CNC=O,Solvent,0.7367,,,,0.9563590000000004,,10.1016/j.tca.2011.06.020
dens_205661100311092059,298.15,101.3,Liquid,2,Clc1ccccc1,Solvent,0.2931,,c1ccccc1,Solvent,0.7069,,,,0.9468000000000002,,10.1021/je030130y
dhmix_207780203414641847,298.15,101.0,Liquid,2,CCCCCCC,Solvent,0.2059,,CNc1ccccc1,Solvent,0.7941,,1.126,,,,10.1016/j.jct.2012.07.006
dens_210291464167311211,298.15,101.0,Liquid,2,CN(CCO)CCO,Solvent,0.67,,c1ccncc1,Solvent,0.33,,,,1.0161020000000005,,10.1021/je400184t
dhmix_211839138837616505,298.15,101.0,Liquid,2,CC(C)CC(C)(C)C,Solvent,0.4004,,CCCCOCCCC,Solvent,0.5996,,0.11538,,,,10.1016/j.fluid.2009.11.010
dhmix_212265571655313344,298.15,101.3,Liquid,2,C1COCO1,Solvent,0.75,,CCCC(C)=O,Solvent,0.25,,0.17046,,,,10.1021/je034223r
dens_214845792470165344,298.15,101.325,Liquid,1,CC(C)(C)O,Solvent,1.0,,,,,,,,0.7805660000000002,,10.1016/j.fluid.2014.06.005
dens_217203361973221607,293.15,101.0,Liquid,2,CN1CCCC1=O,Solvent,0.2216,,Cc1ccccc1,Solvent,0.7784,,,,0.9061600000000002,,10.1016/j.jct.2006.05.006
dhmix_227448111426772630,298.15,101.0,Liquid,2,BrCCBr,Solvent,0.7574,,COC=O,Solvent,0.2426,,0.653,,,,10.1016/j.jct.2006.05.004
dens_231927660991976807,298.15,101.325,Liquid,2,C1COCCN1,Solvent,0.793,,O,Solvent,0.207,,,,1.0057000000000005,,10.1021/je020191g
dhmix_233560612438505808,298.15,101.0,Liquid,2,NCCNCCO,Solvent,0.0699,,O,Solvent,0.9301,,-1.713,,,,10.1016/j.jct.2007.03.010
dhmix_235871820398021316,298.15,101.0,Liquid,2,CCCCC(=O)OCC,Solvent,0.2799,,CCOC(C)=O,Solvent,0.7201,,0.139,,,,10.1016/j.jct.2012.03.011
dhmix_238960964811348884,298.15,101.0,Liquid,2,O,Solvent,0.7057,,OCCNCCO,Solvent,0.2943,,-2.079,,,,10.1016/j.jct.2007.03.010
dhmix_243569655989716577,298.15,101.3,Liquid,2,CN1CCCC1=O,Solvent,0.2531,,ClCCCl,Solvent,0.7469,,-0.8118,,,,10.1021/je020065c
dens_244816283100984424,298.15,101.3,Liquid,2,O,Solvent,0.5,,OC1=NCCC1,Solvent,0.5,,,,1.0977070000000004,,10.1021/je0340809
dens_245600555028724606,298.15,101.3,Liquid,2,C1COCO1,Solvent,0.7174,,CCCC(C)=O,Solvent,0.2826,,,,0.9625500000000002,,10.1021/je034223r
dens_246424150880990921,298.15,101.325,Liquid,1,CC(=O)N(C)C,Solvent,1.0,,,,,,,,0.9363,,10.1016/j.jct.2004.11.015
dens_253365427284293612,308.15,101.0,Liquid,2,CCOc1ccccc1,Solvent,0.2164,,OCCCc1ccccc1,Solvent,0.7836,,,,0.9832000000000004,,10.1021/je050085p
dhmix_256785004283908480,308.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.2715,,Cc1ccncc1,Solvent,0.7285,,-1.1791,,,,10.1016/j.jct.2010.12.028
dhmix_258297232692027149,298.15,101.0,Liquid,2,CCC(C)=O,Solvent,0.5106,,Nc1ccccc1,Solvent,0.4894,,-1.173,,,,10.1021/je200333p
dens_259380669338519231,298.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.7674,,Cc1ccncc1,Solvent,0.2326,,,,0.9868740000000004,,10.1016/j.jct.2010.12.028
dens_263405412301382055,298.15,101.0,Liquid,2,CC(C)OC(C)C,Solvent,0.5003,,Cc1ccccc1,Solvent,0.4997,,,,0.7849200000000002,,10.1016/j.fluid.2008.06.019
dhmix_264252286930443218,303.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.4928,,C1COCCO1,Solvent,0.5072,,1.588,,,,10.1016/j.fluid.2006.03.020
dens_269860866991178237,298.15,101.325,Liquid,1,Clc1ccccc1,Solvent,1.0,,,,,,,,1.1008000000000002,,10.1021/je020186c
dens_270434956480198030,298.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.4915,,Cc1ccccc1,Solvent,0.5085,,,,0.8715100000000002,,10.1021/je5004719
dhmix_270668431990232727,298.15,101.325,Liquid,2,CCCO,Solvent,0.5178,,O=Cc1ccccc1,Solvent,0.4822,,1.6361,,,,10.1016/j.jct.2011.05.014
dens_271682839822956542,298.15,101.325,Liquid,1,CN1CCCC1=O,Solvent,1.0,,,,,,,,1.0282300000000002,,10.1016/j.tca.2013.04.011
dens_275790336855239895,295.15,101.325,Liquid,1,BrCCCCBr,Solvent,1.0,,,,,,,,1.8194400000000004,,10.1016/j.jct.2005.07.009
dhmix_280684042501534412,298.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.7255,,CCCCCC,Solvent,0.2745,,0.199,,,,10.1016/j.jct.2008.12.004
dens_283260247515622345,308.15,101.325,Liquid,2,CC(C)CO,Solvent,0.2793,,CCCCBr,Solvent,0.7207,,,,1.1339800000000002,,10.1021/je0501235
dens_283589156805931897,298.15,101.0,Liquid,2,CCC(C)=O,Solvent,0.5006,,CCCNCCC,Solvent,0.4994,,,,0.7590400000000002,,10.1016/j.tca.2010.09.004
dhmix_284180849520242785,303.0,101.0,Liquid,2,CCC(C)=O,Solvent,0.711,,CCCCO,Solvent,0.289,,1.177,,,,10.1016/j.jct.2007.06.009
dhmix_285013214295615882,303.15,101.0,Liquid,2,CCCCCCC,Solvent,0.2424,,c1ccccc1,Solvent,0.7576,,0.7775,,,,10.1016/j.tca.2013.01.028
dhmix_286328912747955418,298.15,101.0,Liquid,2,BrCCCBr,Solvent,0.5042,,COC(C)=O,Solvent,0.4958,,0.3912,,,,10.1016/j.jct.2006.05.004
dhmix_286567614765920765,298.15,101.0,Liquid,2,CN1CCCC1=O,Solvent,0.212,,ClCCCCCCCl,Solvent,0.788,,-0.13,,,,10.1016/j.jct.2008.01.024
dhmix_289442811935656983,298.15,100.0,Liquid,2,CCCC(=O)OC,Solvent,0.6958,,COC(C)=O,Solvent,0.3042,,0.122,,,,10.1021/acs.jced.5b00813
dens_290675662473393511,298.15,100.0,Liquid,2,CCCCCl,Solvent,0.7026,,CN1CCCC1=O,Solvent,0.2974,,,,0.9268000000000002,,10.1021/je7003758
dens_295827210791704087,298.15,101.0,Liquid,2,CCC(C)=O,Solvent,0.495,,CNc1ccccc1,Solvent,0.505,,,,0.9066940000000002,,10.1021/je100472t
dens_298409481733065240,298.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.2467,,Cc1cccnc1,Solvent,0.7533,,,,0.9668750000000004,,10.1016/j.jct.2010.12.028
dens_304428393173953376,298.15,101.325,Liquid,1,OCCN(CCO)CCO,Solvent,1.0,,,,,,,,1.1209900000000004,,10.1021/je900064e
dhmix_305129266398031684,298.15,101.0,Liquid,2,CC(C)(C)O,Solvent,0.7449,,OC1=NCCC1,Solvent,0.2551,,0.3774,,,,10.1021/je801006q
dens_305294812618894727,303.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.5409,,CN1CCCC1=O,Solvent,0.4591,,,,0.8757100000000002,,10.1016/j.jct.2006.06.005
dhmix_306567383449167305,308.15,101.32,Liquid,2,OCCOCCO,Solvent,0.2665,,OCc1ccccc1,Solvent,0.7335,,-0.4216,,,,10.1021/je0342062
dens_307889456453945734,298.15,100.0,Liquid,2,O,Solvent,0.7144,,OCCNCCO,Solvent,0.2856,,,,1.0810000000000002,,10.1021/je300345m
dens_308579552143663552,298.15,101.0,Liquid,2,CCCCC(=O)OCC,Solvent,0.4921,,CCOC(C)=O,Solvent,0.5079,,,,0.8787300000000002,,10.1016/j.jct.2012.03.011
dens_311203181725137321,298.15,100.0,Liquid,2,CCOCCO,Solvent,0.7599,,OCc1ccccc1,Solvent,0.2401,,,,0.9584000000000004,,10.1016/j.jct.2015.08.040
dhmix_311852657940462319,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.2425,,c1ccccc1,Solvent,0.7575,,-0.1608,,,,10.1016/j.jct.2010.07.016
dens_312064326565881763,298.15,100.0,Liquid,2,C1CCOCC1,Solvent,0.7389,,O=C1CCCCC1,Solvent,0.2611,,,,0.9000800000000002,,10.1021/acs.jced.6b00606
dhmix_314026765790909298,291.15,101.0,Liquid,2,CCCCC,Solvent,0.7887,,COC=O,Solvent,0.2113,,1.154,,,,10.1016/j.fluid.2013.11.026
dens_315508730572897608,298.15,101.0,Liquid,2,BrCCBr,Solvent,0.7506,,CCOC=O,Solvent,0.2494,,,,1.8698300000000003,,10.1016/j.jct.2005.07.009
dhmix_323343617308875467,298.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.2818,,c1cc[nH]c1,Solvent,0.7182,,1.245,,,,10.1016/j.fluid.2013.10.029
dhmix_324130948307311032,298.15,101.0,Liquid,2,O,Solvent,0.499,,OCCOCCO,Solvent,0.501,,-1.149,,,,10.1021/je400158p
