Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,Density Value (g / ml),Density Uncertainty (g / ml),EnthalpyOfMixing Value (kJ / mol),EnthalpyOfMixing Uncertainty (kJ / mol),Source
dhmix_295421348698564047,298.15,101.0,Liquid,2,CC(C)(C)Cl,Solvent,0.7747,,CC(C)OC(C)C,Solvent,0.2252999999999999,,,,0.0035,0.0004,10.1016/j.fluid.2011.06.001
dens_295827210791704087,298.15,101.0,Liquid,2,CCC(C)=O,Solvent,0.495,,CNc1ccccc1,Solvent,0.505,,0.9066940000000002,0.000164,,,10.1021/je100472t
dhmix_297210599846269499,298.15,100.0,Liquid,2,CC(C)CC(C)(C)C,Solvent,0.7813,,CCCCC(=O)OC,Solvent,0.2187,,,,0.658,0.007,10.1021/acs.jced.5b00813
dens_298409481733065240,298.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.2467,,Cc1cccnc1,Solvent,0.7533,,0.9668750000000004,0.00012,,,10.1016/j.jct.2010.12.028
dens_298917004953506181,298.15,101.0,Liquid,2,BrCCBr,Solvent,0.4844,,CCOC(=O)CC,Solvent,0.5156,,1.4136000000000002,0.001165,,,10.1016/j.jct.2005.07.009
dhmix_302635894390637130,298.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.55,,O=C1CCCC1,Solvent,0.4499999999999999,,,,0.15813,0.001,10.1021/je025649t
dens_303129171600089198,298.15,101.0,Liquid,2,COC=O,Solvent,0.5138,,ClCCCCl,Solvent,0.4861999999999999,,1.08831,0.00025,,,10.1016/j.jct.2006.10.008
dhmix_305129266398031684,298.15,101.0,Liquid,2,CC(C)(C)O,Solvent,0.7449,,OC1=NCCC1,Solvent,0.2551,,,,0.3774,0.00415,10.1021/je801006q
dhmix_306567383449167305,308.15,101.32,Liquid,2,OCCOCCO,Solvent,0.2665,,OCc1ccccc1,Solvent,0.7335,,,,-0.4216,0.0081,10.1021/je0342062
dens_307862177404729961,308.15,101.0,Liquid,2,CCCCCCC,Solvent,0.4921999999999999,,c1ccccc1,Solvent,0.5078,,0.7409000000000001,0.00015,,,10.1007/s10765-009-0667-2
dens_308579552143663552,298.15,101.0,Liquid,2,CCCCC(=O)OCC,Solvent,0.4921,,CCOC(C)=O,Solvent,0.5079,,0.8787300000000002,0.00012,,,10.1016/j.jct.2012.03.011
dhmix_310956933973672408,303.15,100.0,Liquid,2,CCN(CC)CCO,Solvent,0.7003,,O,Solvent,0.2996999999999999,,,,-1.75,0.019,10.1016/j.jct.2015.04.030
dens_311192299848884149,298.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.8,,CCCCCO,Solvent,0.1999999999999999,,0.8635900000000002,0.000315,,,10.1021/je060368x
dens_312064326565881763,298.15,100.0,Liquid,2,C1CCOCC1,Solvent,0.7389,,O=C1CCCCC1,Solvent,0.2611,,0.9000800000000002,0.000505,,,10.1021/acs.jced.6b00606
dens_318563500167195699,297.71,101.0,Liquid,2,CCC(C)(C)O,Solvent,0.2996999999999999,,CCOC(C)(C)CC,Solvent,0.7003,,0.7709000000000001,0.0002,,,10.1021/je300670n
dhmix_323012755622637541,298.15,100.0,Liquid,2,CC(C)CC(C)(C)C,Solvent,0.7629,,CCCC(=O)OC,Solvent,0.2370999999999999,,,,0.789,0.0085,10.1021/acs.jced.5b00813
dhmix_323343617308875467,298.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.2818,,c1cc[nH]c1,Solvent,0.7182,,,,1.245,0.00795,10.1016/j.fluid.2013.10.029
dhmix_324130948307311032,298.15,101.0,Liquid,2,O,Solvent,0.499,,OCCOCCO,Solvent,0.501,,,,-1.149,0.0065,10.1021/je400158p
dens_330170096093207350,298.15,101.0,Liquid,2,BrCCBr,Solvent,0.257,,CCC(=O)OC,Solvent,0.743,,1.2059400000000002,0.000915,,,10.1016/j.jct.2006.05.004
dens_334554701355634172,298.15,101.0,Liquid,2,CN(C)CCO,Solvent,0.7075,,CO,Solvent,0.2925,,0.8766100000000002,0.00017,,,10.1016/j.tca.2014.03.038
dhmix_334727518766286363,298.15,101.0,Liquid,2,CN(C)C=O,Solvent,0.498,,ClCCCCCCCl,Solvent,0.502,,,,0.34,0.0025,10.1016/j.jct.2007.06.017
dhmix_336285675444087537,298.2,100.0,Liquid,2,C1CCCCC1,Solvent,0.5012,,c1ccccc1,Solvent,0.4988,,,,0.7893,0.00655,10.1016/j.jct.2014.05.020
dens_337311334458318254,298.15,100.0,Liquid,2,CN(C)C=O,Solvent,0.7054,,ClCCCl,Solvent,0.2946,,1.0336,0.003,,,10.1021/je700339f
dens_339250885538541547,298.15,101.0,Liquid,2,COC=O,Solvent,0.753,,ClCCCl,Solvent,0.247,,1.0461600000000004,0.000205,,,10.1016/j.jct.2006.10.008
dens_346164369782844684,298.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.708,,O=C1CCCC1,Solvent,0.292,,0.8972200000000002,0.00023,,,10.1021/je025649t
dens_346261721067684556,298.15,101.0,Liquid,2,BrCCCBr,Solvent,0.4721999999999999,,COC=O,Solvent,0.5278,,1.5585100000000005,0.001985,,,10.1016/j.jct.2006.05.004
dens_347975027470757748,303.15,100.0,Liquid,2,CCOC(=O)C(C)C,Solvent,0.703,,CO,Solvent,0.297,,0.8501200000000002,0.00011,,,10.1016/j.jct.2019.105884
dhmix_349345583763651495,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.2379,,Cc1ccccc1N,Solvent,0.7621,,,,-0.3658,0.004,10.1021/je1005196
dhmix_350356473844859529,298.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.25,,O=C1CCCCC1,Solvent,0.75,,,,0.05827,0.00062,10.1021/je025649t
dens_350535357052014234,298.15,101.0,Liquid,2,CCC(C)(C)O,Solvent,0.5495,,CCO,Solvent,0.4505,,0.8018000000000002,0.0005,,,10.1021/je050416y
dhmix_350722625964478518,298.15,101.0,Liquid,2,O,Solvent,0.7949,,OCCO,Solvent,0.2050999999999999,,,,-0.681,0.004,10.1016/j.tca.2009.06.004
dhmix_351760126810402317,308.15,101.0,Liquid,2,CCOc1ccccc1,Solvent,0.2391,,OCCc1ccccc1,Solvent,0.7609,,,,0.6669,0.0072,10.1021/je050085p
dhmix_352060624979849508,298.15,101.0,Liquid,2,BrCCCCBr,Solvent,0.2653999999999999,,COC=O,Solvent,0.7346,,,,0.8185,0.00715,10.1016/j.jct.2006.05.004
dhmix_353201759672704414,308.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.2789,,CN1CCCC1=O,Solvent,0.7211,,,,1.2061,0.0129,10.1016/j.jct.2010.12.016
dhmix_354324755933834848,298.15,100.0,Liquid,2,CC#N,Solvent,0.4886,,CCCCOCCCC,Solvent,0.5114000000000001,,,,1.26543,0.00796,10.1021/acs.jced.5b00838
dhmix_357179453940586978,298.15,101.0,Liquid,2,C=CCCCC,Solvent,0.5001,,CCCO,Solvent,0.4999,,,,0.595,0.0055,10.1021/je5004912
dens_359972802449116011,298.15,101.0,Liquid,2,CCCCC(=O)OCC,Solvent,0.3047,,CCOC(C)=O,Solvent,0.6953,,0.8836400000000002,0.00012,,,10.1016/j.jct.2012.03.011
dens_363104874199215888,298.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.4913,,Cc1ccncc1,Solvent,0.5086999999999999,,0.9162950000000002,0.0002825,,,10.1016/j.tca.2011.02.002
dens_365173032894426340,298.15,101.3,Liquid,2,CC(=O)O,Solvent,0.7989,,CCOC(C)=O,Solvent,0.2010999999999999,,0.9996600000000002,0.000225,,,10.1021/je0342825
dhmix_368096719746856684,298.15,100.0,Liquid,2,CCCCC(=O)OC,Solvent,0.7968,,COC=O,Solvent,0.2032,,,,0.219,0.0025,10.1016/j.jct.2015.02.019
dens_371905029656982001,298.15,100.0,Liquid,2,CC#N,Solvent,0.7952,,CCCCOCCCC,Solvent,0.2048,,0.7708800000000002,0.000245,,,10.1016/j.jct.2007.09.007
dhmix_375647983561229221,298.15,101.0,Liquid,2,O,Solvent,0.6998,,OCCN1CCOCC1,Solvent,0.3002,,,,-2.426,0.026,10.1016/j.jct.2015.06.006
dens_379627234834504839,308.15,101.0,Liquid,2,C1COCO1,Solvent,0.2684999999999999,,Cc1ccccc1Cl,Solvent,0.7315,,1.0630000000000002,0.0005,,,10.1021/je400722h
dhmix_381042494449616667,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.5363,,c1ccncc1,Solvent,0.4637,,,,0.1573,0.0013,10.1016/j.tca.2011.02.002
dens_381434455979090548,298.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.2354,,O=C1CCCC1,Solvent,0.7646,,0.9281000000000004,0.00024,,,10.1021/je025649t
dens_382563778349159954,298.15,101.0,Liquid,2,CO,Solvent,0.7605,,O,Solvent,0.2395,,0.8289000000000002,0.0001,,,10.1021/je700300y
dens_386801713369558748,298.15,101.0,Liquid,2,CC(C)CC(C)(C)C,Solvent,0.6999,,CCCCO,Solvent,0.3001,,0.7097700000000001,0.000285,,,10.1016/j.fluid.2012.06.031
dhmix_387207545087756984,298.15,101.0,Liquid,2,CN1CCCC1=O,Solvent,0.703,,ClCCCCCl,Solvent,0.297,,,,-0.583,0.0035,10.1016/j.jct.2008.01.024
dhmix_389365404706562164,298.15,101.0,Liquid,2,CC(C)=O,Solvent,0.6991,,Nc1ccccc1,Solvent,0.3008999999999999,,,,-1.076,0.0115,10.1021/je200333p
dens_390268898774621565,298.15,100.0,Liquid,2,CNc1ccccc1,Solvent,0.2452,,Cc1ccccc1,Solvent,0.7548,,0.8935250000000002,0.000118,,,10.1021/je400134d
dhmix_394716890558875370,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.8216,,Cc1ccccn1,Solvent,0.1784,,,,0.1352,0.0012,10.1016/j.tca.2011.02.002
dens_397017191945747755,298.15,101.0,Liquid,2,CCCCOCCO,Solvent,0.7535,,c1ccccc1,Solvent,0.2465,,0.8924600000000003,0.00077,,,10.1021/je034005y
dens_397536353755601307,298.15,101.0,Liquid,2,COC=O,Solvent,0.244,,ClCCCCl,Solvent,0.756,,1.1395000000000002,0.0003,,,10.1016/j.jct.2006.10.008
dhmix_398619000969156332,298.15,101.0,Liquid,2,CCCCCCC,Solvent,0.7032,,CNc1ccccc1,Solvent,0.2968,,,,1.539,0.0165,10.1016/j.jct.2012.07.006
dhmix_399660490171048139,298.15,101.0,Liquid,2,CCCCN,Solvent,0.4992,,CN(C)C=O,Solvent,0.5008,,,,0.384,0.0115,10.1016/j.fluid.2019.112283
dhmix_400586082720228469,298.15,101.0,Liquid,2,c1cc[nH]c1,Solvent,0.314,,c1ccccc1,Solvent,0.6859999999999999,,,,0.5893,0.00385,10.1016/j.fluid.2013.10.029
dens_402350572101646132,308.15,101.32,Liquid,2,OCCOCCO,Solvent,0.2285,,OCc1ccccc1,Solvent,0.7715,,1.0497600000000002,0.000265,,,10.1021/je0342062
dhmix_403126033609730929,308.15,101.0,Liquid,2,COc1ccccc1,Solvent,0.7136,,OCCCc1ccccc1,Solvent,0.2864,,,,1.1088,0.0119,10.1021/je050085p
dens_404724715554480705,298.15,101.0,Liquid,2,Cn1ccnc1,Solvent,0.2167,,O,Solvent,0.7833,,1.0301000000000002,0.0001,,,10.1016/j.jct.2012.06.015
dens_404951045951212315,298.15,100.0,Liquid,2,CCCCCCCl,Solvent,0.8012,,CN1CCCC1=O,Solvent,0.1988,,0.8970000000000002,0.0003,,,10.1021/je7003758
dens_405557822405632187,298.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.4863,,Cc1ccncc1,Solvent,0.5137,,0.9765780000000002,0.000119,,,10.1016/j.jct.2010.12.028
dhmix_408726027793689512,308.15,101.0,Liquid,2,COc1ccccc1,Solvent,0.2678,,OCCc1ccccc1,Solvent,0.7322,,,,0.688,0.00745,10.1021/je050085p
dhmix_413664013912660584,308.15,101.0,Liquid,2,CN1CCCC1=O,Solvent,0.7411,,c1ccccc1,Solvent,0.2589,,,,-0.3841,0.0042,10.1016/j.jct.2010.12.016
dens_415152037460680190,298.15,101.3,Liquid,2,CCCCCC(C)=O,Solvent,0.2526,,CCCNCCC,Solvent,0.7474000000000001,,0.7540050000000001,0.0001215,,,10.1016/j.jct.2011.05.003
dens_418100597768647551,298.15,100.0,Liquid,2,CC(=O)N(C)C,Solvent,0.7005,,CCCCCCCCCl,Solvent,0.2995,,0.9041000000000002,0.00035,,,10.1021/je700096m
dens_419265039033809639,298.15,101.0,Liquid,2,CCC(C)=O,Solvent,0.2446,,CCCNCCC,Solvent,0.7554,,0.7446230000000003,0.0001405,,,10.1016/j.tca.2010.09.004
dens_420015000085751703,298.15,101.0,Liquid,2,C1CCNCC1,Solvent,0.5,,O,Solvent,0.5,,0.90329,0.000235,,,10.1016/j.jct.2007.05.009
dhmix_420495113830342866,298.15,101.3,Liquid,2,C1COCCO1,Solvent,0.5,,CCCC(C)=O,Solvent,0.5,,,,0.26523,0.001455,10.1021/je034037l
dens_424349283625286915,298.15,101.0,Liquid,2,CCN(CC)CCO,Solvent,0.19329,,O,Solvent,0.80671,,0.9615690000000002,0.000144,,,10.1021/je301371p
dhmix_428405960450233315,298.15,101.0,Liquid,2,CO,Solvent,0.7,,O,Solvent,0.3,,,,-0.583,0.0035,10.1016/j.tca.2006.02.028
dens_430756134431713113,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.8263,,Cc1ccncc1,Solvent,0.1736999999999999,,0.8827950000000002,0.000387,,,10.1016/j.tca.2011.02.002
dhmix_434322904876707989,298.15,101.0,Liquid,2,CCCC#N,Solvent,0.7528,,c1ccccc1,Solvent,0.2471999999999999,,,,-0.0312,0.0008,10.1021/je100489z
dens_434488961397442908,298.15,101.0,Liquid,2,BrCCBr,Solvent,0.4493,,CCCCOC(=O)CCC,Solvent,0.5507,,1.2506100000000002,0.000225,,,10.1016/j.jct.2009.05.006
dens_434654293043367064,298.15,101.3,Liquid,2,CCCCCC(C)=O,Solvent,0.5427,,CCCNCCC,Solvent,0.4573,,0.7766620000000002,0.0001215,,,10.1016/j.jct.2011.05.003
dhmix_440112582834070452,298.15,101.0,Liquid,2,CCOC(C)(C)C,Solvent,0.5019,,Cc1ccccc1,Solvent,0.4981,,,,-0.046,0.00055,10.1016/j.jct.2008.12.004
dhmix_440504403413358602,308.15,101.0,Liquid,2,C1COCO1,Solvent,0.5009,,Cc1ccccc1Cl,Solvent,0.4991,,,,0.393,0.002,10.1021/je400722h
dhmix_440517059765210759,308.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.7518,,CN1CCCC1=O,Solvent,0.2482,,,,1.1998,0.01285,10.1016/j.jct.2010.12.016
dhmix_445083371427238161,298.15,101.0,Liquid,2,CC(=O)N(C)C,Solvent,0.798,,ClCCCCCCCl,Solvent,0.2019999999999999,,,,0.067,0.002,10.1016/j.jct.2007.06.017
dens_447489208399448366,298.15,101.0,Liquid,2,CCOCCO,Solvent,0.7508,,c1ccccc1,Solvent,0.2491999999999999,,0.9134500000000004,0.000685,,,10.1021/je034005y
dens_447619280533386169,298.15,101.3,Liquid,2,C1CCOCC1,Solvent,0.504,,CCO,Solvent,0.496,,0.8440100000000001,0.0001,,,10.1021/je201140q
dhmix_451054579432909691,298.15,101.0,Liquid,2,CCC(C)=O,Solvent,0.5044,,CCCCNCCCC,Solvent,0.4956,,,,0.619,0.0065,10.1016/j.fluid.2013.01.011
dhmix_459395490224344002,298.15,101.0,Liquid,2,CCC(C)=O,Solvent,0.7055,,CNc1ccccc1,Solvent,0.2945,,,,-0.672,0.0075,10.1021/je200333p
dens_469106929324071589,298.15,101.0,Liquid,2,CN(C)CCO,Solvent,0.502,,CO,Solvent,0.498,,0.8684000000000002,0.000155,,,10.1016/j.tca.2014.03.038
dens_469457750997330111,298.42,101.0,Liquid,2,CC#N,Solvent,0.1989999999999999,,CCOC(C)(C)C,Solvent,0.801,,0.7408000000000001,0.00015,,,10.1021/je301238f
dhmix_469535023732097046,308.15,101.3,Liquid,2,CCCCOC(C)=O,Solvent,0.7714,,c1ccccc1,Solvent,0.2286,,,,-0.0245,0.001,10.1016/j.fluid.2005.06.011
dens_472231270806735849,308.15,101.32,Liquid,2,OCCOCCO,Solvent,0.7277,,OCc1ccccc1,Solvent,0.2723,,1.0857000000000003,0.000275,,,10.1021/je0342062
dhmix_473337245903479255,298.15,101.0,Liquid,2,CC(C)OC(C)C,Solvent,0.4547,,CCCCCl,Solvent,0.5453,,,,-0.0954,0.0012,10.1016/j.fluid.2011.06.001
dens_473707506699539605,298.148,101.325,Liquid,2,CN(CCO)CCO,Solvent,0.743,,O,Solvent,0.257,,1.0405100000000005,0.000286,,,10.1021/je030120x
dhmix_473791470406754813,308.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.7735,,c1ccncc1,Solvent,0.2265,,,,-0.7828,0.016,10.1016/j.jct.2010.12.028
dens_475916764526230118,303.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.5409,,CN1CCCC1=O,Solvent,0.4590999999999999,,0.8757100000000002,0.000335,,,10.1016/j.jct.2006.06.005
dhmix_476959489489939546,298.15,101.3,Liquid,2,C1COCO1,Solvent,0.35,,CCCC(C)=O,Solvent,0.65,,,,0.17755,0.001095,10.1021/je034223r
dhmix_485972832984521185,298.15,101.0,Liquid,2,OC1=NCCC1,Solvent,0.5256,,c1ccncc1,Solvent,0.4744,,,,0.2031,0.0508,10.1016/j.jct.2013.09.015
dhmix_487454822491814216,303.15,100.0,Liquid,2,CN(C)CCCO,Solvent,0.8001,,O,Solvent,0.1998999999999999,,,,-1.26,0.0135,10.1016/j.jct.2015.04.030
dhmix_487525270900785915,298.15,101.0,Liquid,2,CCCCCl,Solvent,0.49,,CN1CCCC1=O,Solvent,0.51,,,,0.152,0.002,10.1016/j.jct.2008.01.024
dens_491335920719787140,298.15,101.0,Liquid,2,CCO,Solvent,0.2914,,CN(C)CCO,Solvent,0.7086,,0.8710100000000002,0.000165,,,10.1016/j.tca.2014.03.038
dens_492607157214049551,298.15,100.0,Liquid,2,CCCCCCCCCl,Solvent,0.2995,,CN1CCCC1=O,Solvent,0.7005,,0.9598000000000002,0.00025,,,10.1021/je7003758
dhmix_493050251409002266,298.15,101.0,Liquid,2,CC(C)CC(C)(C)C,Solvent,0.4998,,CCCO,Solvent,0.5002,,,,0.6025,0.0027,10.1016/j.fluid.2012.06.031
dhmix_493894709222745431,298.15,101.0,Liquid,2,CCCOC=O,Solvent,0.5145,,ClCCCCl,Solvent,0.4855,,,,-0.114,0.0015,10.1016/j.jct.2008.10.007
dhmix_496556822612575788,298.15,101.0,Liquid,2,CC(C)(C)Cl,Solvent,0.5512,,CC(C)OC(C)C,Solvent,0.4488,,,,0.0071,0.0004,10.1016/j.fluid.2011.06.001
dhmix_497599637578903843,298.15,101.0,Liquid,2,CCC(C)=O,Solvent,0.7922,,CCCCNCCCC,Solvent,0.2078,,,,0.425,0.0045,10.1016/j.fluid.2013.01.011
dens_497913504954435072,298.15,101.0,Liquid,2,CCCCCCC,Solvent,0.9136666654754124,,c1ccccc1,Solvent,0.0863333345245875,,0.6892400000000002,0.000805,,,10.1016/j.jct.2009.06.001
dens_499674511911295315,308.15,101.0,Liquid,2,COc1ccccc1,Solvent,0.2883,,OCc1ccccc1,Solvent,0.7117,,1.0180000000000002,0.000135,,,10.1021/je050085p
dens_502490279576457142,298.15,101.0,Liquid,2,CC(C)=O,Solvent,0.2484,,Nc1ccccc1,Solvent,0.7516,,0.9768950000000002,0.0001055,,,10.1021/je900874z
dens_502535215499306300,298.15,101.0,Liquid,2,CC1(C)C(=O)[C@]2(C)CC[C@H]1C2,Solvent,0.7897,,CCO,Solvent,0.2103,,0.9274800000000002,6.0000000000000015e-05,,,10.1016/j.jct.2013.09.024
dhmix_505515933495562446,298.15,101.0,Liquid,2,BrCCCBr,Solvent,0.7594,,COC(C)=O,Solvent,0.2406,,,,0.313,0.0032,10.1016/j.jct.2006.05.004
dens_507105732773474508,303.15,100.0,Liquid,2,CCOC(=O)C(C)C,Solvent,0.1996,,CO,Solvent,0.8004,,0.8173600000000002,0.000115,,,10.1016/j.jct.2019.105884
dhmix_507854909217059453,308.15,101.3,Liquid,2,CCCCOC(C)=O,Solvent,0.4958,,c1ccccc1,Solvent,0.5042,,,,-0.0245,0.001,10.1016/j.fluid.2005.06.011
dhmix_511205112916679931,298.15,101.0,Liquid,2,CN(C)C=O,Solvent,0.702,,ClCCCl,Solvent,0.298,,,,-0.531,0.003,10.1016/j.jct.2007.06.017
dens_512718268934842454,298.15,100.0,Liquid,2,CO,Solvent,0.5054000000000001,,COC=O,Solvent,0.4946,,0.8956100000000002,7.500000000000002e-05,,,10.1016/j.jct.2015.02.019
dens_513041114711263706,298.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.7432,,c1ccccc1,Solvent,0.2568,,0.8789500000000002,0.000505,,,10.1021/je5004719
dens_513364996936932879,298.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.3975,,Cc1ccccc1,Solvent,0.6025,,0.8228000000000002,0.0002,,,10.1021/je900468u
dhmix_514747936460800907,298.15,101.0,Liquid,2,CCCOC(=O)CC,Solvent,0.7874,,ClCCCl,Solvent,0.2126,,,,-0.357,0.004,10.1016/j.jct.2008.10.007
dhmix_516826462985700915,298.2,100.0,Liquid,2,CN(C)CCO,Solvent,0.7506,,CO,Solvent,0.2493999999999999,,,,-0.5322,0.00585,10.1021/je800334m
dens_518873815579082947,298.15,100.0,Liquid,2,CCCNCCC,Solvent,0.5034000000000001,,CN(C)C=O,Solvent,0.4966,,0.8108000000000002,0.0009885,,,10.1021/acs.jced.5b00802
dhmix_519020692910829058,298.15,100.0,Liquid,2,CC1CCCCC1,Solvent,0.2504,,CCCO,Solvent,0.7496,,,,0.321,0.0055,10.1016/j.jct.2016.10.005
dens_520026157857283005,298.15,100.0,Liquid,2,C1CCCCC1,Solvent,0.7464,,CNc1ccccc1,Solvent,0.2536,,0.8233530000000001,0.000138,,,10.1021/je400134d
dhmix_520375309510530851,298.15,101.0,Liquid,2,CCCCO,Solvent,0.1447,,OC1=NCCC1,Solvent,0.8553,,,,0.0949,0.0012,10.1021/je801006q
dens_524218629195233709,298.15,100.0,Liquid,2,CN1CCCC1=O,Solvent,0.2025,,ClCCCl,Solvent,0.7975,,1.1953000000000005,0.00025,,,10.1021/je7003758
dhmix_524588303656127923,298.15,101.0,Liquid,2,CCCOC(=O)CC,Solvent,0.5177,,ClCCCl,Solvent,0.4822999999999999,,,,-0.557,0.006,10.1016/j.jct.2008.10.007
dens_526726711230875242,298.15,101.0,Liquid,2,CCCC#N,Solvent,0.2,,c1ccccc1,Solvent,0.8,,0.8576940000000002,5.400000000000001e-05,,,10.1021/acs.jced.5b00009
dhmix_528415451304418870,298.15,101.0,Liquid,2,CO,Solvent,0.7272000000000001,,OCc1ccccc1,Solvent,0.2728,,,,-0.0792,0.001,10.1021/je100095p
dhmix_528919611917797972,298.15,101.0,Liquid,2,CCCCCCCCCl,Solvent,0.2019999999999999,,CN1CCCC1=O,Solvent,0.798,,,,0.5,0.0035,10.1016/j.jct.2008.01.024
dens_529102635796730119,298.15,100.0,Liquid,2,CN(C)C=O,Solvent,0.4988,,ClCCCl,Solvent,0.5012,,1.0957000000000003,0.00305,,,10.1021/je700339f
dhmix_529167120030607265,298.15,101.0,Liquid,2,CC(=O)N(C)C,Solvent,0.211,,CCCCCCCl,Solvent,0.789,,,,0.38,0.003,10.1016/j.jct.2007.01.017
dhmix_529171701855664994,298.15,101.0,Liquid,2,CCC(C)=O,Solvent,0.509,,CNc1ccccc1,Solvent,0.491,,,,-0.816,0.009,10.1021/je200333p
dens_529923149814588013,298.15,101.0,Liquid,2,CN1CCCC1=O,Solvent,0.5215,,c1ccncc1,Solvent,0.4785,,1.0158200000000004,0.00051,,,10.1021/je301353z
dens_530283691889925101,298.15,101.3,Liquid,2,C1COCO1,Solvent,0.244,,CCCCCC(C)=O,Solvent,0.756,,0.8445200000000002,0.00038,,,10.1021/je034223r
dhmix_535781898796979822,298.15,101.0,Liquid,2,CCCCCCCl,Solvent,0.497,,CN1CCCC1=O,Solvent,0.503,,,,0.416,0.0025,10.1016/j.jct.2008.01.024
dhmix_536135051106915019,298.15,101.0,Liquid,2,CN1CCCC1=O,Solvent,0.503,,ClCCCCCCCl,Solvent,0.497,,,,-0.2,0.0025,10.1016/j.jct.2008.01.024
dhmix_538566704621214459,298.15,101.0,Liquid,2,O,Solvent,0.6996,,OCCOCCO,Solvent,0.3004,,,,-1.245,0.0065,10.1016/j.tca.2009.06.004
dhmix_539311850074608903,308.15,101.0,Liquid,2,C1CCOCC1,Solvent,0.5319,,Cc1ccccc1,Solvent,0.4680999999999999,,,,-0.2225,0.0025,10.1016/j.jct.2010.07.016
dens_542140372746307739,293.15,101.0,Liquid,2,C=C(C)[C@H]1CC=C(C)CC1,Solvent,0.2634999999999999,,CCCCCO,Solvent,0.7365,,0.8238000000000002,0.0002,,,10.1016/j.fluid.2010.03.001
dhmix_542288537852235393,298.15,100.0,Liquid,2,CCC(C)=O,Solvent,0.2124,,CCN(CC)CC,Solvent,0.7876,,,,0.57,0.006,10.1016/j.fluid.2013.07.037
dens_543966873359250584,298.15,101.0,Liquid,2,C1CCCCC1,Solvent,0.4777,,CCCCCCCC,Solvent,0.5223,,0.7250300000000002,0.000585,,,10.1016/j.jct.2005.02.006
dhmix_545156830559761733,298.15,101.0,Liquid,2,CC(C)OC(C)C,Solvent,0.2727,,CCCCCl,Solvent,0.7273,,,,-0.0785,0.001,10.1016/j.fluid.2011.06.001
dens_549735839966160061,298.15,101.0,Liquid,2,BrCCBr,Solvent,0.7148,,CCOC(=O)CC,Solvent,0.2852,,1.7205300000000003,0.000985,,,10.1016/j.jct.2005.07.009
dens_549797363805085367,298.15,101.3,Liquid,2,CN(C)CCCO,Solvent,0.2895042123431094,,O,Solvent,0.7104957876568905,,0.9443,0.00285,,,10.1016/j.jct.2016.02.007
dens_550359933597768082,298.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.7571,,Cc1ccccn1,Solvent,0.2429,,0.9854410000000002,0.000169,,,10.1016/j.jct.2010.12.028
dhmix_550785832129234551,298.15,100.0,Liquid,2,CO,Solvent,0.4872999999999999,,COC=O,Solvent,0.5127,,,,1.179,0.0125,10.1016/j.jct.2015.02.019
dhmix_552797563400703897,298.15,101.0,Liquid,2,CC(C)CC(C)(C)C,Solvent,0.6999,,CCCO,Solvent,0.3001,,,,0.6544,0.0029,10.1016/j.fluid.2012.06.031
dens_553274449043038627,298.15,101.3,Liquid,2,C1COCCO1,Solvent,0.5063,,O=C1CCCC1,Solvent,0.4937,,0.9849200000000002,0.00025,,,10.1021/je034037l
dens_554997908553953148,298.0,100.0,Liquid,2,CC(=O)N(C)C,Solvent,0.5009,,ClCCCCCl,Solvent,0.4991,,1.0407000000000004,0.00225,,,10.1021/je700339f
dens_556809461665821217,298.15,101.0,Liquid,2,CCCCO,Solvent,0.4963999999999999,,NCCN,Solvent,0.5036,,0.8519430000000002,0.000219,,,10.1021/je1012857
dens_571252427270497671,298.15,100.0,Liquid,2,CCCC(=O)OC,Solvent,0.2536,,COC(C)=O,Solvent,0.7464,,0.9147400000000002,0.000505,,,10.1021/acs.jced.5b00813
dhmix_572583914255158874,308.15,101.0,Liquid,2,C1COCCO1,Solvent,0.4911999999999999,,Cc1ccccc1Cl,Solvent,0.5088,,,,0.356,0.002,10.1021/je400722h
dhmix_576394999964882000,298.15,100.0,Liquid,2,CC(C)CC(C)(C)C,Solvent,0.4818,,CCCCC(=O)OC,Solvent,0.5182,,,,0.866,0.0095,10.1021/acs.jced.5b00813
